obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 5.0, 36411, 33800, 12404, 31239, 13742, 7682, 3632, 2499, NA, NA, NA, 141409,  X*
2, 6.0, 41796, 245262, 38232, 47164, 18442, 15372, 9918, 5890, NA, NA, NA, 422076,  X*
3, 7.0, 402489, 155812, 7063, 5432, 9064, 6905, 377, 3798, NA, NA, NA, 590940,  X*
4, 9.1, 37848, 14576, 2815, 867, 4210, 2184, 980, 683, 53, 40, NA, 64163,  X*
5, 10.0, 99502, 723534, 138042, 61310, 95108, 24112, 6284, 5017, 57, 37, NA, 1152909,  X*
6, 11.1, 82013, 40375, 31174, 12026, 4108, 2504, 2327, 3068, 43, 51, NA, 177595,  X*
7, 12.0, 578450, 146583, 34518, 9384, 21116, 13750, 26584, 28167, 30, 54, NA, 858552,  X*
8, 13.0, 61457, 601056, 67482, 82502, 79995, 69205, 45195, 26394, 14, 61, NA, 1033286,  X*
9, 14.0, 63812, 45887, 2538, 3983, 6938, 4407, 1505, 2305, 38, 54, NA, 131375,  X*
10, 16.0, 443638, 62578, 22114, 19045, 15400, 10985, 13208, 4900, 63, 48, NA, 591868,  X*
11, 17.1, 283887, 74152, 20777, 27063, 6459, 12994, 4249, 2204, 69, 56, NA, 431785,  X*
12, 18.0, 1016299, 101918, 17066, 17674, 9035, 6367, 1192, 875, 54, 57, NA, 1170426,  X*
13, 19.0, 1194067, 36279, 10441, 11708, 9059, 8242, 2075, 1438, 64, 69, NA, 1273309,  X*
14, 20.0, 1115284, 36875, 25848, 29622, 25406, 11353, 6639, 3895, 67, 74, NA, 1254922,  X*
15, 21.0, 177791, 59902, 9949, 13843, 29650, 18639, 5075, 4178, 81, 66, NA, 319027,  X*
16, 22.0, 387974, 21284, 10384, 11027, 2927, 3469, 2116, 627, 93, 75, NA, 439808,  X*
17, 23.0, 131389, 135176, 34600, 21718, 22586, 13051, 8916, 10274, 80, 74, NA, 377710,  X*
18, 24.1, 943947, 54324, 30720, 56073, 40904, 19548, 7402, 14964, 80, 74, NA, 1167882,  X*
19, 25.0, 297116, 320392, 102615, 23737, 32820, 11265, 4405, 5157, 40, 77, NA, 797507,  X*
20, 27.0, 528800, 861854, 8202, 24080, 25679, 34156, 8398, 5433, 27, 48, NA, 1496602,  X*
21, 28.0, 196241, 134263, 65973, 55725, 15548, 11522, 3282, 2436, 13, 60, NA, 484990,  X*
22, 29.0, 249627, 107497, 16188, 12106, 42520, 23491, 4220, 3045, 47, 51, NA, 458694,  X*
23, 30.0, 27190, 26641, 23107, 36970, 25159, 12013, 19240, 3765, 67, 83, NA, 174085,  X*
24, 31.0, 17560, 10085, 21179, 19371, 11207, 15316, 4483, 3169, 84, 83, NA, 102370,  X*
25, 32.0, 47269, 11120, 24360, 43865, 5411, 14889, 2510, 3577, 100, 93, NA, 153001,  X*
26, 33.1, 26663, 28776, 31879, 77864, 14356, 12044, 4638, 2570, 94, 100, NA, 198790,  X*
27, 34.0, 348838, 19169, 8004, 1722, 6083, 2177, 1023, 366, 83, 100, NA, 387382,  X*
28, 35.0, 27346, 10511, 14598, 17116, 14030, 17019, 20603, 6365, 83, 100, NA, 127588,  X*
29, 36.0, 52580, 32204, 21018, 16700, 7875, 8333, 5785, 3064, 70, 94, NA, 147559,  X*
30, 37.1, 93580, 77845, 13676, 9567, 9386, 4475, 1944, 1564, 60, 77, NA, 212037,  X*
31, 38.0, 29888, 21845, 20482, 57366, 8632, 9049, 2120, 2469, 60, 91, NA, 151851,  X*
32, 39.0, 138057, 38793, 9851, 14480, 8541, 3211, 1307, 992, 27, 88, NA, 215232,  X*
33, 40.1, 222598, 63910, 18378, 3496, 3639, 2698, 1077, 1045, 8, 78, NA, 316841,  X*
34, 41.0, 297420, 18987, 713, 15093, 5710, 3708, 889, 907, 21, 87, NA, 343427,  X*
35, 42.0, 20687, 29688, 3555, 52002, 14480, 3497, 2306, 1075, 10, 81, NA, 127290,  X*
36, 43.1, 1014346, 232829, 7099, 6037, 29148, 10296, 5787, 3918, 7, 60, NA, 1309460,  X*
37, 44.0, 157255, 19380, 905, 8789, 682, 977, 494, 828, 8, 63, NA, 189310,  X*
38, 45.1, 73715, 120981, 21864, 127182, 35465, 19123, 14820, 6514, 1, 67, NA, 419664,  X*
39, 46.0, 417893, 76319, 75088, 27140, 15502, 15966, 5245, 6885, 14, 64, NA, 640038,  X*
40, 47.0, 2415455, 96232, 23469, 40709, 31842, 7598, 5052, 5983, 17, 87, NA, 2626340,  X*
41, 48.0, 1481431, 22104, 26914, 5734, 13565, 18056, 8872, 4197, 51, 90, NA, 1580873,  X*
42, 49.1, 307073, 44957, 1099, 3862, 2714, 1687, 3762, 1035, 41, 67, NA, 366189,  X*
43, 50.0, 1755420, 31910, 11111, 31078, 22663, 4867, 2102, 3155, 35, 66, NA, 1862306,  X*
44, 51.0, 386194, 38828, 7338, 9898, 3854, 2166, 1372, 409, 30, 64, NA, 450059,  X*
45, 53.0, 117841, 34340, 21428, 14569, 14199, 6752, 1542, 732, 13, 66, NA, 211403,  X*
46, 54.0, 1677326, 96450, 35204, 51765, 14322, 15919, 2825, 2579, 24, 83, NA, 1896390,  X*
47, 55.0, 1305108, 330566, 64258, 44587, 59007, 42716, 15877, 5289, 38, 78, NA, 1867408,  X*
48, 56.1, 130351, 29218, 3637, 9714, 11163, 9831, 1685, 669, 51, 69, NA, 196268,  X*
49, 57.0, 114775, 25255, 7897, 21742, 2158, 2575, 1088, 1176, 50, 74, NA, 176666,  X*
50, 58.0, 12726, 24300, 12452, 75381, 6646, 5609, 5488, 2274, 41, 84, NA, 144876,  X*
51, 59.1, 13462, 116069, 12054, 72505, 15986, 8424, 3040, 3262, 29, 93, NA, 244802,  X*
52, 60.0, 133950, 271326, 14614, 61241, 17977, 26387, 3647, 2847, 11, 93, NA, 531989,  X*
53, 61.0, 318951, 527159, 25082, 248842, 37229, 30026, 18611, 9558, 8, 84, NA, 1215458,  X*
