obs; time; Delta; Theta; Alpha1; Alpha2; Beta1; Beta2; Gamma1; Gamma2; Attention; Meditation; Derived; totPwr; class 
1; 4.0;2201400;338373;68799;227966;59889;29017;13869;18031; NA; NA; NA;2957344;  X*
2; 5.0;287596;215830;113464;19008;20061;17719;9231;3791; NA; NA; NA;686700;  X*
3; 6.1;2812255;565450;204734;70610;61642;105935;9192;5005; NA; NA; NA;3834823;  X*
4; 7.0;64480;3493;2263;984;1453;830;418;110;51;44; NA;74031;  X*
5; 8.0;458826;50071;17426;10089;7051;5689;3691;1636;54;40; NA;554479;  X*
6; 9.0;86299;9478;1599;2642;1707;1154;530;187;61;27; NA;103596;  X*
7; 15.0;32663;16918;28599;7899;6464;5077;1709;880;67;51; NA;100209;  X*
8; 16.0;337415;157298;107637;3628;118892;21378;5437;6636;57;34; NA;758321;  X*
9; 17.0;265214;232318;28276;8323;48952;19942;11100;2950;54;20; NA;617075;  X*
10; 18.0;892756;42214;56077;37081;78625;42891;9137;5452;70;40; NA;1164233;  X*
11; 19.0;948937;314972;13983;26353;16524;33812;12199;2938;69;1; NA;1369718;  X*
12; 20.0;1095447;171487;98392;11672;33318;17589;15945;3315;61;20; NA;1447165;  X*
13; 21.0;391673;17121;30596;5025;25220;23600;10763;9808;83;47; NA;513806;  X*
14; 22.0;1055317;410042;63059;38330;59550;35203;13713;4001;54;29; NA;1679215;  X*
15; 23.0;289814;13398;10359;601;3297;1068;835;597;40;60; NA;319969;  X*
16; 24.0;71898;42512;47878;46007;25445;11576;9015;8927;41;75; NA;263258;  X*
17; 25.0;63108;18139;41746;26658;17631;11640;5229;3725;23;90; NA;187876;  X*
18; 26.0;100246;17896;14266;4886;7265;2540;2202;732;21;100; NA;150033;  X*
19; 27.0;1191369;67535;99373;27099;74784;20656;10551;5178;37;100; NA;1496545;  X*
20; 28.0;10087;29587;34130;24069;24763;16684;7794;5498;51;100; NA;152612;  X*
21; 29.0;138827;27144;62078;2436;13864;20147;8019;7797;57;100; NA;280312;  X*
22; 30.0;372034;216626;26216;21210;28177;17522;6346;3708;57;77; NA;691839;  X*
23; 31.0;69639;35738;67519;22672;28902;6738;20028;2715;47;83; NA;253951;  X*
24; 32.0;21340;17122;37539;24109;16062;11704;9792;8717;40;91; NA;146385;  X*
25; 33.0;124942;9997;19046;3411;6300;3672;3192;893;30;91; NA;171453;  X*
26; 34.0;15459;26250;66084;33856;50868;15081;16627;3936;41;100; NA;228161;  X*
27; 35.0;109989;20870;33775;29325;54659;29390;5261;4164;70;100; NA;287433;  X*
28; 36.0;30914;126048;59008;18514;22571;15291;14728;6549;60;93; NA;293623;  X*
29; 37.0;1874404;69509;21495;14033;22278;20128;11612;3907;67;74; NA;2037366;  X*
30; 38.0;218077;76184;31011;5876;15841;12127;9116;3121;66;56; NA;371353;  X*
31; 39.0;2981043;216245;46085;19916;23046;17063;10529;6431;38;43; NA;3320358;  X*
32; 40.0;109856;9106;7017;5051;3912;4436;1423;2421;54;48; NA;143222;  X*
33; 41.0;209741;14415;11595;22338;6002;3881;2736;3041;43;74; NA;273749;  X*
34; 42.0;3155228;266855;133747;105863;24434;49863;12427;4743;41;81; NA;3753160;  X*
35; 43.0;20802;35029;54851;15191;46341;19430;8004;7177;60;97; NA;206825;  X*
36; 44.0;43515;64537;47330;18959;16165;10587;10744;4852;44;100; NA;216689;  X*
37; 45.0;13904;73847;96486;6741;22348;6741;10311;3828;30;94; NA;234206;  X*
38; 46.0;134168;58097;5645;2059;28702;11761;12880;7129;40;63; NA;260441;  X*
39; 47.0;451170;203087;134227;18893;51742;28566;8478;11746;26;60; NA;907909;  X*
40; 48.0;802673;64183;26157;7091;7345;9729;2011;1303;29;53; NA;920492;  X*
41; 49.0;58507;61046;6323;4638;9995;4265;1464;2300;37;23; NA;148538;  X*
42; 50.0;138359;96803;21794;16898;18190;5783;3033;2079;14;43; NA;302939;  X*
43; 51.0;62217;25129;1039;1989;3535;1732;346;540;11;17; NA;96527;  X*
44; 52.2;1334018;88030;53925;22783;29626;22965;7680;4521;14;21; NA;1563548;  X*
45; 53.0;579907;95942;55778;62043;31654;28359;3728;12231;26;47; NA;869642;  X*
46; 54.0;249092;22771;8901;5248;2573;601;1512;456;21;53; NA;291154;  X*
47; 55.0;182959;139817;53354;62438;40610;29910;10548;11775;37;78; NA;531411;  X*
48; 56.0;95353;10933;8861;15336;6286;3632;1394;1338;37;88; NA;143133;  X*
49; 57.0;39685;10198;8252;13376;7864;3092;2033;711;38;93; NA;85211;  X*
50; 58.0;69493;27649;65386;4186;32678;10827;11228;4705;63;100; NA;226152;  X*
51; 59.0;83855;31530;4966;11659;3280;3686;1359;2029;57;97; NA;142364;  X*
52; 60.0;276259;98851;15607;7558;9048;4684;1503;1341;47;75; NA;414851;  X*
53; 61.0;446995;260890;34490;47225;21524;12783;11450;10134;35;54; NA;845491;  X*
54; 62.0;402857;147905;66079;18144;17660;17305;10530;5312;27;43; NA;685792;  X*
55; 63.0;75637;84500;78846;13763;16499;19485;6135;6547;34;51; NA;301412;  X*
