obs; time; Delta; Theta; Alpha1; Alpha2; Beta1; Beta2; Gamma1; Gamma2; Attention; Meditation; Derived; totPwr; class 
1; 3.9;537560;90319;78515;163039;72264;62893;24046;25172; NA; NA; NA;1053808;  X*
2; 5.0;632664;40288;20148;15207;18680;19572;8022;9316; NA; NA; NA;763897;  X*
3; 5.9;14710;81772;4527;31128;33764;25160;9829;13707; NA; NA; NA;214597;  X*
4; 7.0;621304;529102;122874;53685;63255;98339;75235;17060;30;30; NA;1580854;  X*
5; 7.9;48768;29254;6229;4018;6547;7501;1976;3371;34;23; NA;107664;  X*
6; 9.0;297531;144690;11246;54994;24210;33996;26587;10287;34;20; NA;603541;  X*
7; 9.9;11664;95191;5561;2193;1429;2170;4166;1577;14;1; NA;123951;  X*
8; 13.0;2214330;284553;78673;53444;83031;30417;19656;9395;23;10; NA;2773499;  X*
9; 13.9;225462;86161;4484;6227;22406;10743;4162;1752;27;1; NA;361397;  X*
10; 15.0;665764;21307;16494;11580;13371;7658;3911;3953;41;11; NA;744038;  X*
11; 15.9;1027559;5804;4773;3510;5159;7112;2307;5351;83;35; NA;1061575;  X*
12; 16.9;1721745;145529;20364;85883;28953;49187;33706;28987;93;38; NA;2114354;  X*
13; 18.0;871339;110819;36798;23429;46519;10144;19377;12636;80;54; NA;1131061;  X*
14; 19.0;93726;27924;14513;17146;16144;14241;19775;11916;80;53; NA;215385;  X*
15; 20.0;394076;41854;11937;11664;6999;13083;9746;7401;66;48; NA;496760;  X*
16; 20.9;124454;89521;2444;8724;17122;13315;10670;6023;63;26; NA;272273;  X*
17; 22.0;118745;36291;15470;4710;2214;7822;4468;4980;75;29; NA;194700;  X*
18; 22.9;208989;187940;17946;12160;7635;14294;9758;16647;57;13; NA;475369;  X*
19; 23.9;852963;24138;12179;2947;9368;5240;2256;3283;53;14; NA;912374;  X*
20; 24.9;292266;136138;20633;3336;14263;6460;1654;3862;37;21; NA;478612;  X*
21; 26.2;2917434;418167;31520;67282;22938;23115;31805;15325;21;11; NA;3527586;  X*
22; 26.9;193708;105312;12784;15100;22119;15013;10425;4613;27;14; NA;379074;  X*
23; 28.0;85000;33355;29796;8752;7637;10356;12944;3572;29;24; NA;191412;  X*
24; 28.9;6795;4558;3165;13039;5370;9456;7409;3651;61;47; NA;53443;  X*
25; 29.9;12259;14127;7850;6033;2223;4643;5629;5409;80;61; NA;58173;  X*
26; 31.0;13538;15080;1557;11841;6553;32649;6448;2758;100;64; NA;90424;  X*
27; 31.9;91460;25511;5380;31827;4707;10906;5972;2913;96;66; NA;178676;  X*
28; 33.0;75214;37670;8442;3822;1908;2166;728;211;63;51; NA;130161;  X*
29; 33.9;1414450;176531;19671;15169;12506;10780;23927;7721;44;35; NA;1680755;  X*
30; 35.0;466806;22158;11047;21243;22253;6587;2325;2024;20;47; NA;554443;  X*
31; 35.9;162586;18484;5915;3414;7633;2584;1605;1131;13;35; NA;203352;  X*
32; 37.0;65342;29698;11627;2559;8060;1531;1723;1809;11;38; NA;122349;  X*
33; 38.0;881830;334710;44308;13542;14568;25113;12338;5265;13;37; NA;1331674;  X*
34; 39.0;25529;15673;29870;4116;4421;8610;15653;8449;17;44; NA;112321;  X*
35; 40.0;87375;22728;4887;3540;2032;2411;1766;973;16;44; NA;125712;  X*
36; 41.0;89558;16386;8824;4905;894;2111;1340;592;24;53; NA;124610;  X*
37; 42.9;112550;172387;11576;62375;25759;8957;10450;5652;16;63; NA;409706;  X*
38; 43.9;878064;10173;3427;5204;1909;2665;969;415;16;63; NA;902826;  X*
39; 44.9;48727;72846;32068;8761;11165;6023;4500;10271;13;56; NA;194361;  X*
40; 45.9;475956;74570;41813;13243;14542;15944;11566;7016;26;61; NA;654650;  X*
41; 46.9;28227;39112;32839;14998;13240;9009;10098;8537;27;64; NA;156060;  X*
42; 48.0;242189;45262;12940;2313;2665;17756;7666;8430;37;51; NA;339221;  X*
43; 48.9;21669;24136;10091;10969;4272;7894;4867;1452;48;54; NA;85350;  X*
44; 50.0;159701;74955;22012;6253;6348;6827;4669;7111;43;48; NA;287876;  X*
45; 51.0;1593291;148762;19050;42925;54415;32488;9930;9175;47;35; NA;1910036;  X*
46; 52.0;61644;29311;551;7356;1042;4874;1914;1116;38;37; NA;107808;  X*
