obs; time; Delta; Theta; Alpha1; Alpha2; Beta1; Beta2; Gamma1; Gamma2; Attention; Meditation; Derived; totPwr; class 
1; 5.0;162246;82573;6015;38464;10905;11564;7964;2282; NA; NA; NA;322013;  X*
2; 5.9;1560113;1205657;165879;168839;42092;54807;22069;40844; NA; NA; NA;3260300;  X*
3; 6.9;1175127;248793;11937;8761;26849;9363;7402;5662; NA; NA; NA;1493894;  X*
4; 7.9;349198;174300;32508;27510;30894;11578;4849;6259;40;47; NA;637096;  X*
5; 8.9;232036;46017;55583;52171;63215;13811;21778;7983;54;67; NA;492594;  X*
6; 9.9;230236;55304;13978;29617;27882;16311;5301;7295;78;81; NA;385924;  X*
7; 10.9;436189;170202;140535;50868;23543;25112;11189;4546;84;100; NA;862184;  X*
8; 11.9;572929;61931;18870;13239;9400;3372;1633;940;77;100; NA;682314;  X*
9; 12.9;335377;84535;56613;10838;4300;4124;2038;2569;48;100; NA;500394;  X*
10; 14.0;1285768;925833;119714;163244;17365;63496;18372;19209;26;100; NA;2613001;  X*
11; 14.9;1089829;241069;46563;35702;234558;66729;12863;23032;43;80; NA;1750345;  X*
12; 15.9;337131;280195;92577;60513;42487;32598;3020;9303;53;81; NA;857824;  X*
13; 16.9;190626;200719;20007;8846;14804;11880;1658;2085;63;60; NA;450625;  X*
14; 17.9;151058;54501;5298;8232;10686;4410;2342;1833;63;56; NA;238360;  X*
15; 19.0;43616;38429;25169;42525;27943;18854;4946;6477;61;77; NA;207959;  X*
16; 20.0;328383;54766;39991;43968;23918;17766;10116;2839;70;84; NA;521747;  X*
17; 20.9;138330;134723;66347;81349;20314;18276;2050;2914;77;100; NA;464303;  X*
18; 22.0;95954;37471;2667;14621;5718;10922;2027;1678;96;100; NA;171058;  X*
19; 22.9;1166450;629966;123743;54278;43337;15912;8970;5436;56;100; NA;2048092;  X*
20; 23.9;723939;69690;24217;134642;33654;16227;9526;7329;47;100; NA;1019224;  X*
21; 24.9;55063;49605;14415;12824;6630;2408;967;885;35;91; NA;142797;  X*
22; 25.9;322357;210689;13894;22851;38192;22010;6538;2545;17;78; NA;639076;  X*
23; 26.9;321683;185180;50086;44492;30712;7368;3445;3331;23;83; NA;646297;  X*
24; 27.9;93240;18124;2817;2078;3047;2544;592;254;27;63; NA;122696;  X*
25; 28.9;283682;315641;56779;59591;11239;22204;4659;3216;37;60; NA;757011;  X*
26; 29.9;137298;49449;50249;80999;11797;12054;7751;5385;30;87; NA;354982;  X*
27; 30.9;248864;220547;45465;66164;25758;30818;2880;4649;54;81; NA;645145;  X*
28; 31.9;172300;25551;28052;18636;6764;6773;2547;599;53;96; NA;261222;  X*
