obs; time; Delta; Theta; Alpha1; Alpha2; Beta1; Beta2; Gamma1; Gamma2; Attention; Meditation; Derived; totPwr; class 
1; 4.9;326976;54781;11033;14261;22501;4969;1254;4311; NA; NA; NA;440086;  X*
2; 5.9;1034170;85673;22078;3686;4622;10410;2911;797; NA; NA; NA;1164347;  X*
3; 7.0;223316;113519;13589;46359;29035;28091;8805;9261; NA; NA; NA;471975;  X*
4; 7.9;31903;22925;24211;24851;2321;11620;5869;2979;54;51; NA;126679;  X*
5; 9.0;27433;40488;32284;37362;8405;5350;6091;3219;40;66; NA;160632;  X*
6; 10.0;54692;7447;3808;9955;6565;3714;835;657;56;74; NA;87673;  X*
7; 11.0;42259;42416;22442;36276;9986;13403;6638;2916;67;81; NA;176336;  X*
8; 11.9;151231;33418;1264;38621;7779;7888;6390;4689;60;77; NA;251280;  X*
9; 13.1;174602;61006;24203;99936;51335;8856;5756;5100;60;74; NA;430794;  X*
10; 13.9;643801;64892;17697;36173;16441;10622;11909;4636;43;69; NA;806171;  X*
11; 15.0;32409;18494;10537;34613;8965;6021;9167;8054;34;77; NA;128260;  X*
12; 16.0;133223;20291;1357;1116;2316;1968;525;438;26;50; NA;161234;  X*
13; 17.0;192579;25032;5987;18457;4487;3044;3569;1621;29;44; NA;254776;  X*
14; 17.9;230271;66493;25710;44436;12621;8631;7007;2424;21;51; NA;397593;  X*
15; 19.0;18908;16565;4421;50204;10688;13711;3372;1731;41;51; NA;119600;  X*
16; 20.0;431083;23175;1641;5205;3211;4229;2134;3181;53;63; NA;473859;  X*
17; 21.0;19818;6404;4330;31298;10355;8367;5604;6156;84;70; NA;92332;  X*
18; 22.0;134619;30661;7732;15856;5075;3758;1204;1814;87;66; NA;200719;  X*
19; 22.9;303510;8642;1086;23483;8744;2959;3832;948;66;66; NA;353204;  X*
20; 23.9;38146;21351;9499;70422;15664;6110;5366;4560;43;93; NA;171118;  X*
21; 24.9;76290;28684;30450;5492;43127;9393;3830;3844;35;78; NA;201110;  X*
22; 25.9;591455;23447;37641;8863;9350;13270;6342;7602;57;84; NA;697970;  X*
23; 27.0;80080;23896;47674;6358;18699;6968;6645;1831;60;84; NA;192151;  X*
24; 27.9;60106;14532;5850;2348;729;740;363;143;51;67; NA;84811;  X*
25; 28.9;598712;228272;52497;8537;15051;9992;11491;3539;21;60; NA;928091;  X*
26; 29.9;74418;20208;6160;3747;4056;3810;1729;1367;13;44; NA;115495;  X*
27; 30.9;368885;63457;36819;13718;6416;10125;4785;2950;16;38; NA;507155;  X*
28; 32.0;244587;43076;17164;31439;10568;10341;3847;5757;41;41; NA;366779;  X*
29; 33.0;19949;58523;13047;16729;16795;9058;3318;3014;64;47; NA;140433;  X*
30; 33.9;167585;63857;8446;4040;3192;1363;152;479;37;38; NA;249114;  X*
31; 35.0;62962;88287;35836;45631;20394;13661;9434;4917;41;38; NA;281122;  X*
32; 36.9;404584;51892;15246;24657;3792;3014;923;1952;24;37; NA;506060;  X*
33; 38.0;514166;66095;10521;21091;13162;8184;5548;3836;57;63; NA;642603;  X*
34; 39.0;84513;15155;8295;20935;7410;1980;2125;1272;50;70; NA;141685;  X*
35; 39.9;17512;10887;30827;30978;9770;8188;6445;4824;70;88; NA;119431;  X*
36; 41.0;246465;17709;11706;7482;4309;6769;1515;1399;77;81; NA;297354;  X*
37; 42.0;1867553;9228;18144;39972;7210;7447;4196;3549;80;100; NA;1957299;  X*
38; 43.0;191579;23799;3517;9850;5851;2263;1411;807;81;90; NA;239077;  X*
39; 44.0;74851;110198;25304;65932;11604;20974;9417;5677;81;75; NA;323957;  X*
40; 44.9;28339;26888;9360;13761;25129;11088;15395;7347;83;66; NA;137307;  X*
41; 45.9;188616;59001;52038;48466;12168;12038;9789;11505;78;56; NA;393621;  X*
42; 46.9;18839;34370;4184;61174;11018;8087;9919;7325;83;69; NA;154916;  X*
43; 47.9;44005;63409;10681;20084;21726;13399;10361;4446;88;61; NA;188111;  X*
44; 48.9;195714;18854;5396;2920;1618;942;660;198;60;63; NA;226302;  X*
45; 49.9;59201;17496;9016;8313;4668;4082;1381;1146;66;56; NA;105303;  X*
46; 50.9;262161;36663;28882;1559;3102;3130;1823;1537;56;50; NA;338857;  X*
47; 51.9;311236;115581;43072;10343;16542;11509;11031;9258;44;51; NA;528572;  X*
48; 52.9;15168;37301;17631;7265;3118;5809;1937;1426;60;54; NA;89655;  X*
49; 53.9;356074;158003;74001;4173;11964;13109;10472;13470;47;48; NA;641266;  X*
50; 54.9;44500;46616;14061;11792;10393;6541;9167;4433;57;40; NA;147503;  X*
51; 56.0;28041;35414;65514;7617;14137;9713;12217;7187;63;54; NA;179840;  X*
52; 56.9;37597;36458;39540;10830;6241;6047;7758;6020;57;64; NA;150491;  X*
53; 57.9;19969;15920;37568;10026;15209;10391;8933;4463;77;78; NA;122479;  X*
54; 58.9;38520;19008;26744;19907;13726;6656;10321;2644;78;93; NA;137526;  X*
55; 59.9;145049;12189;9735;2805;2684;5083;1074;717;90;84; NA;179336;  X*
56; 60.9;363899;48632;32404;22832;15342;18113;8460;5073;100;78; NA;514755;  X*
57; 61.9;219518;243937;20744;75861;27569;9221;6163;6015;78;61; NA;609028;  X*
58; 62.9;110643;48715;40626;11168;4526;4970;11120;4931;66;56; NA;236699;  X*
59; 63.9;258190;84983;49890;11337;6943;7658;10327;3262;47;54; NA;432590;  X*
60; 64.9;1200181;154945;58585;35485;14450;13031;5554;5951;24;51; NA;1488182;  X*
61; 65.9;315200;208863;127078;11558;38798;28508;12705;13391;41;57; NA;756101;  X*
62; 66.9;19671;35123;26548;38342;30133;20409;12254;5838;64;56; NA;188318;  X*
63; 67.9;190319;22589;5271;7220;12103;4116;1057;1327;78;48; NA;244002;  X*
64; 68.9;80404;8551;9899;6460;7141;3045;2773;2740;91;54; NA;121013;  X*
65; 69.9;76482;52961;20325;18468;21335;13810;6657;3613;100;54; NA;213651;  X*
66; 70.9;66742;39921;13018;3581;26146;13108;12906;7422;100;38; NA;182844;  X*
67; 71.9;270438;21986;40172;8898;15446;6995;6642;4517;100;54; NA;375094;  X*
68; 72.9;8210;40507;21029;16566;7801;6836;6361;3861;96;53; NA;111171;  X*
69; 73.9;64609;20689;47613;30957;21416;6302;5395;6959;81;69; NA;203940;  X*
70; 75.0;110633;46578;56583;6206;37010;23235;2436;5124;80;81; NA;287805;  X*
71; 75.9;96411;85538;13241;17250;31921;19750;8913;5259;88;60; NA;278283;  X*
72; 76.9;649682;37007;41997;14981;24790;12926;8300;7342;96;60; NA;797025;  X*
73; 77.9;35257;22055;55036;22165;11833;11521;5315;4487;100;60; NA;167669;  X*
74; 78.9;116481;40565;37169;29635;31064;24509;7281;2655;100;63; NA;289359;  X*
75; 79.9;53965;20379;148018;39092;41161;18592;4846;6378;96;96; NA;332431;  X*
76; 80.9;96442;38792;32215;18872;6942;8319;7623;2205;93;100; NA;211410;  X*
77; 81.9;24447;8652;34544;8128;17941;23309;12168;6926;100;90; NA;136115;  X*
78; 82.9;9792;13396;54339;1845;19466;5137;6134;4503;83;97; NA;114612;  X*
79; 83.9;80403;73579;31078;28783;14816;9983;4039;4129;74;80; NA;246810;  X*
80; 84.9;146467;37233;49594;2331;20521;14258;14209;6635;70;77; NA;291248;  X*
81; 85.9;45590;14659;55272;2964;9903;10054;8044;8205;56;84; NA;154691;  X*
82; 86.9;85724;14184;27651;19281;21116;7762;5314;2559;64;81; NA;183591;  X*
83; 87.9;60599;23495;68166;5006;26658;16956;9234;4972;77;90; NA;215086;  X*
84; 88.9;707215;68956;55234;89534;13374;10351;6948;6627;61;100; NA;958239;  X*
85; 89.9;66293;18976;5794;4786;6455;3647;1890;1280;60;78; NA;109121;  X*
86; 90.9;10462;24352;47661;32639;17157;21129;6587;6671;66;80; NA;166658;  X*
87; 91.9;98801;77119;12704;11160;5661;9010;5567;4966;56;61; NA;224988;  X*
88; 92.9;123101;54914;134980;12771;27255;10365;5048;7860;57;61; NA;376294;  X*
89; 93.9;13698;50768;58796;14940;17941;18679;5042;4855;60;75; NA;184719;  X*
90; 94.9;69551;9416;69057;4580;11728;4202;5402;2521;41;84; NA;176457;  X*
91; 95.9;203049;32337;315;9105;4852;3828;1096;965;41;83; NA;255547;  X*
92; 96.9;293390;94532;80086;12812;25989;19114;5980;7014;51;67; NA;538917;  X*
93; 97.9;60372;49874;87190;49657;17265;9786;6002;3420;38;77; NA;283566;  X*
94; 98.9;469006;150345;29931;64252;41037;6850;6658;8210;29;53; NA;776289;  X*
95; 99.9;45074;12345;89452;26600;13873;10374;6225;2143;27;84; NA;206086;  X*
96; 100.9;17853;8497;54840;14114;13287;13867;8245;2742;35;96; NA;133445;  X*
97; 101.9;119111;87574;44755;15626;11432;24705;6932;3999;50;78; NA;314134;  X*
98; 102.9;897523;79557;34234;4587;38223;18304;7426;7370;69;70; NA;1087224;  X*
99; 103.9;38208;11327;8734;7629;2494;2599;1072;1743;74;56; NA;73806;  X*
100; 104.9;155503;92264;62392;31391;33302;21441;4251;3554;66;41; NA;404098;  X*
101; 105.9;472656;36844;108905;17152;17983;9860;2405;4769;54;60; NA;670574;  X*
102; 106.9;63881;32579;74726;26461;22665;16621;10010;2654;53;80; NA;249597;  X*
103; 107.9;124366;15915;5585;15303;10044;4867;2500;1503;56;77; NA;180083;  X*
104; 108.9;23556;16586;99329;13481;5876;6879;4472;6448;48;96; NA;176627;  X*
105; 109.9;19676;54112;23366;18002;28788;7012;2993;5302;50;80; NA;159251;  X*
106; 110.9;46231;65155;17038;32669;37858;8364;11054;8824;43;64; NA;227193;  X*
107; 111.9;423807;97764;41055;2993;10895;4986;6036;4378;24;60; NA;591914;  X*
108; 112.9;87484;98770;51546;48128;26511;19444;3150;6239;34;40; NA;341272;  X*
109; 113.9;457029;49964;50705;4141;29774;5585;7845;5302;27;43; NA;610345;  X*
110; 114.9;1061873;81970;45538;12772;54395;9140;7284;4563;26;43; NA;1277535;  X*
111; 115.9;136874;61068;48544;17826;32146;14099;6610;3395;41;48; NA;320562;  X*
112; 116.9;1060323;44298;75831;12414;21475;16376;4059;4057;43;53; NA;1238833;  X*
113; 117.9;299648;86091;37146;5657;8115;7827;5577;7322;44;48; NA;457383;  X*
114; 118.9;42426;39475;23887;59709;7629;15485;5826;12030;53;61; NA;206467;  X*
115; 119.9;7161;23265;22799;8204;15788;9777;6611;7659;60;63; NA;101264;  X*
116; 120.9;102908;86149;24623;14724;13269;17366;7435;2427;63;48; NA;268901;  X*
117; 121.9;260618;17020;69974;24850;24894;6654;7548;5266;61;67; NA;416824;  X*
118; 123.0;27516;20332;69517;20416;19236;9279;8017;6678;57;70; NA;180991;  X*
119; 123.9;141320;6844;10069;3542;2629;3631;834;993;57;77; NA;169862;  X*
120; 124.9;30672;23513;23291;14565;30374;16820;8888;3875;67;83; NA;151998;  X*
121; 125.9;284867;47879;3876;3335;3803;1605;1245;779;60;50; NA;347389;  X*
122; 127.0;27067;372548;70512;22125;27601;9090;8415;5982;40;24; NA;543340;  X*
123; 127.9;943119;188813;45761;9085;23161;11199;8440;3199;20;8; NA;1232777;  X*
124; 128.9;145312;49026;7090;2736;5196;1898;1156;308;1;1; NA;212722;  X*
125; 129.9;56120;124956;33241;21563;68895;9800;6580;2942;1;3; NA;324097;  X*
126; 130.9;591831;35442;18938;16022;10364;16689;3515;2667;34;13; NA;695468;  X*
127; 131.9;32896;10540;79833;24293;4580;10849;2647;2595;43;44; NA;168233;  X*
128; 132.9;141354;97237;26214;15509;27781;6977;2691;2299;50;50; NA;320062;  X*
129; 133.9;122725;82833;83928;10202;27607;10432;5269;3194;50;61; NA;346190;  X*
130; 134.9;237684;49037;7057;2401;2699;1759;638;732;23;48; NA;302007;  X*
131; 135.9;93145;31344;22321;19713;15847;14511;6106;2708;34;26; NA;205695;  X*
132; 136.9;73659;60465;49929;3539;14259;3813;4363;2550;27;37; NA;212577;  X*
133; 137.9;206079;18986;9757;2178;3923;2802;1282;709;30;30; NA;245716;  X*
134; 138.9;421793;120396;48032;16586;30129;14318;2433;2293;44;40; NA;655980;  X*
135; 139.9;44397;32200;80814;18936;3099;11117;6690;4123;30;53; NA;201376;  X*
136; 140.9;224213;24224;452;6489;11282;4966;1303;1487;50;38; NA;274416;  X*
137; 141.9;15933;24891;31613;12122;20220;4290;5186;4721;47;44; NA;118976;  X*
138; 142.9;764640;136421;19116;23053;13972;6454;7562;7106;37;41; NA;978324;  X*
139; 143.9;24912;42047;40406;9492;10547;22462;8594;2656;51;26; NA;161116;  X*
140; 144.9;48909;41080;19855;10430;31309;15386;7044;7742;56;35; NA;181755;  X*
141; 145.9;16185;17720;6849;569;12048;1387;1233;1584;54;20; NA;57575;  X*
142; 146.9;341078;22319;41154;8490;27007;11385;3595;4387;74;34; NA;459415;  X*
143; 147.9;51585;60182;77462;10739;8540;12823;5522;2550;60;38; NA;229403;  X*
144; 148.9;65922;22307;9301;7433;2945;2278;603;2181;43;47; NA;112970;  X*
145; 149.9;16398;21380;54840;12248;16376;9651;3994;3742;53;67; NA;138629;  X*
146; 150.9;241010;220425;73942;17602;20908;8073;1169;3399;29;57; NA;586528;  X*
147; 151.9;79569;21515;36558;14151;10485;5785;4505;5448;29;60; NA;178016;  X*
148; 152.9;76617;13947;8503;8651;13182;1431;788;613;26;60; NA;123732;  X*
149; 153.9;15884;22912;13227;3374;14695;5149;3057;2153;27;44; NA;80451;  X*
150; 154.9;378628;69918;35340;25366;11514;7779;12158;3571;40;53; NA;544274;  X*
151; 155.9;15147;15365;32765;11458;6902;3376;4001;3700;35;56; NA;92714;  X*
152; 156.9;409451;219791;9893;30716;19724;21822;9926;6532;43;38; NA;727855;  X*
153; 157.9;385214;57267;56730;8984;29835;9433;13801;3365;35;44; NA;564629;  X*
154; 158.9;45506;56324;37941;3924;13335;12802;4306;5467;44;41; NA;179605;  X*
155; 159.9;22128;12452;44083;12517;19211;13991;9635;13596;60;37; NA;147613;  X*
156; 160.9;24972;33677;35192;1070;16335;13709;13882;14969;70;51; NA;153806;  X*
157; 161.9;19177;11096;47472;5299;20913;6158;11378;15709;75;57; NA;137202;  X*
158; 162.9;84998;62314;8025;3514;5568;7109;1173;1672;69;44; NA;174373;  X*
159; 163.9;310700;17014;19647;3465;3141;4373;755;561;63;43; NA;359656;  X*
160; 164.9;29681;12148;5213;11070;20439;4179;3055;1978;60;40; NA;87763;  X*
161; 165.9;958311;35794;27746;7508;3963;4221;2079;658;54;35; NA;1040280;  X*
162; 166.9;125401;31338;17790;6519;4393;2753;679;888;47;51; NA;189761;  X*
163; 167.9;64169;23330;29821;6484;18750;9689;8210;8122;51;48; NA;168575;  X*
164; 168.9;9629;18754;60152;6116;26390;12296;7397;8539;50;57; NA;149273;  X*
165; 170.0;9971;9146;6782;9699;19345;7671;4960;7493;69;51; NA;75067;  X*
166; 170.9;41224;31795;81684;1813;8824;12161;3608;11940;78;64; NA;193049;  X*
167; 171.9;36078;10304;24698;2175;16778;6042;10243;5827;78;64; NA;112145;  X*
168; 172.9;33282;11739;86255;7615;15815;6906;8638;9410;67;75; NA;179660;  X*
169; 173.9;23131;7980;6201;9305;17758;15135;12080;6333;74;74; NA;97923;  X*
170; 174.9;27748;29685;49774;16589;13124;12127;9127;6042;75;69; NA;164216;  X*
171; 175.9;11876;11865;50596;19450;17688;7889;15509;7674;67;80; NA;142547;  X*
172; 176.9;19444;15001;25049;18811;35183;12962;8410;12502;80;63; NA;147362;  X*
173; 177.9;34672;12349;46744;6885;21482;20138;11034;13440;69;74; NA;166744;  X*
174; 178.9;24633;20856;74356;7960;5073;8933;4210;10572;66;80; NA;156593;  X*
175; 179.9;53349;10980;20311;15552;13638;5130;5040;9957;66;75; NA;133957;  X*
176; 180.9;26079;10804;56992;13266;22681;15797;6453;8672;66;83; NA;160744;  X
177; 181.9;26415;7310;43475;4821;7924;12910;6975;4568;64;90; NA;114398;  X
178; 182.9;13807;13672;35921;19401;9553;17074;8292;10056;77;84; NA;127776;  X
179; 183.9;284165;26649;22282;12594;24479;12232;8732;3441;81;75; NA;394574;  X
180; 184.9;181619;64570;5706;35660;50819;11538;6438;9938;75;57; NA;366288;  X
181; 186.0;690182;70977;31589;17373;9573;13810;7962;8063;66;44; NA;849529;  X
182; 186.9;93251;15900;144794;23240;17962;4287;9591;6556;40;56; NA;315581;  X
183; 187.9;377383;99584;74221;1883;10821;8784;6465;5018;24;57; NA;584159;  X
184; 189.0;498147;221790;60043;37352;30619;11861;12023;6725;13;57; NA;878560;  X
185; 189.9;809558;228712;33638;37475;32142;39171;10411;3508;13;50; NA;1194615;  X
186; 190.9;664657;34801;14184;6063;4382;2539;922;557;20;24; NA;728105;  X
187; 192.0;33704;29084;31178;41702;23183;7740;7189;6964;24;30; NA;180744;  X
188; 192.9;145295;89445;12693;56970;25573;13196;4646;4091;35;38; NA;351909;  X
189; 194.0;118990;34533;94722;11298;14422;4872;6671;2118;20;61; NA;287626;  X
190; 194.9;100538;18603;3950;6400;2937;2074;1242;796;24;61; NA;136540;  X
191; 195.9;50370;15538;98583;11888;13069;13200;2860;7115;27;69; NA;212623;  X
192; 196.9;34284;94314;22961;30026;24621;11658;3155;4484;27;66; NA;225503;  X
