obs; time; Delta; Theta; Alpha1; Alpha2; Beta1; Beta2; Gamma1; Gamma2; Attention; Meditation; Derived; totPwr; class 
1; 4.5;865541;125811;49776;120726;82218;33666;8939;4057; NA; NA; NA;1290734;  X*
2; 5.5;1505016;105783;21554;32954;15552;12682;2342;1864; NA; NA; NA;1697747;  X*
3; 6.5;1348182;197988;21253;62732;21866;9244;7642;4372; NA; NA; NA;1673279;  X*
4; 7.5;1222109;150388;146071;71797;20826;21134;10959;8636;40;53; NA;1651920;  X*
5; 8.4;895607;56425;35392;32162;10870;18987;3096;3520;56;61; NA;1056059;  X*
6; 9.4;365122;11664;985;1454;854;788;395;226;57;43; NA;381488;  X*
7; 12.6;1267581;522875;89606;23089;12680;43849;19706;4970;61;24; NA;1984356;  X*
8; 13.4;930399;100685;57183;34413;24572;19020;4381;2066;43;1; NA;1172719;  X*
9; 14.5;271962;54116;33323;22902;9056;24015;6847;10845;61;17; NA;433066;  X*
10; 15.4;1162496;62969;16111;11067;9337;15533;3015;3205;90;24; NA;1283733;  X*
11; 16.4;500096;31486;3694;8654;4243;15269;5796;7331;100;24; NA;576569;  X*
12; 17.4;13626;41426;28785;5200;17350;4877;5995;1175;100;21; NA;118434;  X*
13; 18.4;284661;109739;95953;12310;39105;12010;8918;3912;78;23; NA;566608;  X*
14; 19.4;160672;25449;20762;4107;2221;3237;1953;531;56;38; NA;218932;  X*
15; 20.4;545329;81886;16319;30200;24776;12454;2359;5933;38;47; NA;719256;  X*
16; 21.4;61491;112054;28228;51780;38069;41785;7442;2447;56;41; NA;343296;  X*
17; 22.4;92417;57887;45962;25197;15913;11811;4335;5203;63;44; NA;258725;  X*
18; 23.4;89878;33868;59523;26375;35991;8460;11147;14634;64;51; NA;279876;  X*
19; 24.4;58519;35572;24774;12265;38429;8453;14341;4623;69;54; NA;196976;  X*
20; 25.4;201792;117923;68713;28314;23552;15693;10517;5343;53;61; NA;471847;  X*
21; 26.4;1722976;165622;45008;6809;34354;19786;4863;8235;53;37; NA;2007653;  X*
22; 27.4;209835;25996;817;11085;8066;6748;1164;1678;64;13; NA;265389;  X*
23; 28.4;151822;10540;2988;1378;2762;1968;364;366;66;4; NA;172188;  X*
24; 29.4;71261;27344;15522;3483;5598;3753;1638;1270;67;3; NA;129869;  X*
25; 30.4;1704423;347504;42108;3891;15740;19682;4342;10208;60;1; NA;2147898;  X*
26; 31.4;880669;62685;8319;3603;5692;3156;915;339;38;1; NA;965378;  X*
27; 32.4;562109;103940;74084;21061;14136;9089;13145;16968;23;14; NA;814532;  X*
28; 33.4;53744;68603;20210;10104;13216;14735;14523;4365;30;10; NA;199500;  X*
29; 34.4;234878;43928;83845;5009;6281;2812;2025;2118;17;48; NA;380896;  X*
30; 35.4;1346837;228471;12127;27636;18859;8697;5539;6177;14;47; NA;1654343;  X*
31; 36.4;970182;530486;207364;98708;19744;23789;14492;7564;8;43; NA;1872329;  X*
32; 37.5;2853985;206790;15889;16264;21832;13793;1740;1420;1;29; NA;3131713;  X*
33; 38.5;262533;2889;2406;1690;3301;860;158;224;21;16; NA;274061;  X*
34; 39.4;109917;51375;17153;22968;16380;5843;1730;2606;30;37; NA;227972;  X*
35; 40.4;279806;37146;12615;12983;919;2386;2228;532;35;38; NA;348615;  X*
36; 41.4;26393;28432;39442;51508;10775;12157;5157;7443;41;77; NA;181307;  X*
37; 42.4;110333;85338;68140;39801;22774;12407;6053;2649;34;81; NA;347495;  X*
38; 43.4;240970;308826;53410;9530;18235;15870;9603;3873;27;66; NA;660317;  X*
39; 44.4;686461;62375;37503;14045;27413;7341;2950;1355;38;63; NA;839443;  X*
40; 45.4;142223;23680;63038;11821;29928;10933;8521;10956;38;57; NA;301100;  X*
41; 46.4;201807;51408;23653;12279;9740;4937;2273;1517;37;48; NA;307614;  X*
42; 47.4;288616;127014;33445;12282;37072;12900;12273;4780;43;54; NA;528382;  X*
43; 48.4;870865;56995;15250;22086;12664;8529;4241;2315;48;53; NA;992945;  X*
44; 49.4;53262;62426;19170;14237;11971;4306;9451;6980;38;38; NA;181803;  X*
45; 50.4;23910;33232;40947;13070;10684;8448;7477;5073;47;50; NA;142841;  X*
46; 51.4;150574;79192;69970;66773;9706;18932;11123;7213;48;74; NA;413483;  X*
47; 52.4;73013;55691;39307;36626;19679;10958;6995;2777;44;81; NA;245046;  X*
48; 54.4;321588;70954;42164;21257;10058;10305;5028;3745;51;88; NA;485099;  X*
49; 55.4;64197;11287;10878;5164;5679;3378;1610;728;47;75; NA;102921;  X*
50; 56.4;1398784;220486;65584;30776;17995;23947;10859;9754;47;60; NA;1778185;  X*
51; 57.5;455997;10698;112;4860;703;909;235;111;43;51; NA;473625;  X*
52; 58.4;775494;75417;19071;47316;13548;8193;6863;2425;44;51; NA;948327;  X*
53; 59.4;300787;72221;29914;30675;24793;12382;4760;7218;40;47; NA;482750;  X*
54; 60.4;324135;155728;43856;32093;30470;17975;10714;10120;40;48; NA;625091;  X*
