obs; time; Delta; Theta; Alpha1; Alpha2; Beta1; Beta2; Gamma1; Gamma2; Attention; Meditation; Derived; totPwr; class 
55; 61.4;637386;160163;77446;68900;14993;11623;5428;4908;34;57; NA;980847;  X*
56; 62.4;1698562;55438;29681;47690;9097;10428;1344;998;37;63; NA;1853238;  X*
57; 63.4;907397;22095;7499;3909;3152;1194;594;343;23;60; NA;946183;  X*
58; 64.4;131263;191727;14352;5886;3730;2219;1568;813;3;43; NA;351558;  X*
59; 65.4;766971;30399;6915;4788;2171;1310;1137;803;7;34; NA;814494;  X*
60; 66.4;173404;10779;3636;2390;2459;1187;779;526;8;21; NA;195160;  X*
61; 67.4;2391494;440983;98814;17743;23423;24738;6852;11732;16;16; NA;3015779;  X*
62; 68.4;48785;33852;81239;9726;41907;11918;8303;8448;41;50; NA;244178;  X*
63; 69.5;52199;15397;95625;23439;13025;9443;8720;6022;51;75; NA;223870;  X*
64; 70.4;199287;411059;63015;58503;31161;18880;5612;14900;43;66; NA;802417;  X*
65; 71.4;1576530;166623;20327;19610;21688;15578;4073;5753;50;61; NA;1830182;  X*
66; 72.4;525814;180742;122545;27646;37583;11932;9203;4276;38;50; NA;919741;  X*
67; 73.4;44224;24172;4955;1342;7947;1869;2386;771;37;14; NA;87666;  X*
68; 78.4;117583;31505;57186;11080;5817;11937;5518;2727;51;37; NA;243353;  X*
69; 79.4;140127;247872;8439;35772;18842;16370;8078;3739;48;34; NA;479239;  X*
70; 80.4;330982;37268;154799;37924;28740;11137;3309;6649;51;48; NA;610808;  X*
71; 81.4;99668;151954;30147;6731;14712;10238;9396;2261;48;51; NA;325107;  X*
72; 82.4;181928;206862;45544;57339;8825;13775;6872;6181;38;37; NA;527326;  X*
73; 83.4;97466;7052;19307;2169;4792;4193;1903;1253;50;63; NA;138135;  X*
74; 84.4;69965;35892;35502;11973;25738;7131;9026;5175;56;48; NA;200402;  X*
75; 85.4;261630;40641;1097;2982;1802;2206;550;359;56;38; NA;311267;  X*
76; 86.4;273906;47582;21464;10160;7416;3661;1444;1566;57;41; NA;367199;  X*
77; 87.4;111791;38838;10240;9840;3755;2691;1262;1517;43;26; NA;179934;  X*
78; 88.4;492760;29614;26383;18737;13229;10844;3864;3848;48;29; NA;599279;  X*
79; 89.4;283557;61445;17855;8551;5992;2337;2176;1227;41;44; NA;383140;  X*
80; 90.4;168088;71853;34619;7266;6250;3503;985;1594;37;44; NA;294158;  X*
81; 91.4;325603;203638;52027;17198;16544;14844;7830;5725;38;41; NA;643409;  X*
82; 92.4;191133;74893;10818;12861;28206;14848;4487;2005;40;23; NA;339251;  X*
83; 93.4;152579;98711;20448;14355;34946;11753;13762;5885;51;20; NA;352439;  X*
84; 94.4;322665;134126;48523;30394;8987;14207;2036;4947;60;17; NA;565885;  X*
85; 95.4;116919;42671;36466;15833;11352;3756;1952;1188;56;30; NA;230137;  X*
86; 96.4;3880208;255658;112203;27879;22369;31660;5273;5333;50;41; NA;4340583;  X*
87; 97.4;91117;6339;10223;4718;4827;4264;929;850;61;56; NA;123267;  X*
88; 98.4;637651;38816;24824;1601;6573;3436;1521;1513;60;57; NA;715935;  X*
89; 99.4;767622;42824;9455;9262;14476;10635;6487;6624;77;44; NA;867385;  X*
90; 100.4;295567;185781;200896;52609;11376;8136;4634;5672;57;57; NA;764671;  X*
91; 101.4;12876;28792;47495;7898;32824;8492;6764;6142;50;54; NA;151283;  X*
92; 102.4;385664;24515;3082;2179;4004;2776;416;504;56;41; NA;423140;  X*
93; 103.4;122339;36666;23478;807;1052;440;310;486;24;50; NA;185578;  X*
94; 104.4;234690;5558;18050;10733;3503;2313;1083;1365;43;57; NA;277295;  X*
95; 105.4;353200;91404;20996;34899;58544;7943;8755;8084;38;48; NA;583825;  X*
96; 106.4;540622;139936;15054;32367;30031;15392;7879;6350;40;53; NA;787631;  X*
97; 107.4;32939;53070;90111;12666;17975;6150;6189;3093;57;63; NA;222193;  X*
98; 108.4;367939;46787;21218;58578;13959;6693;7399;5280;56;53; NA;527853;  X*
99; 109.4;8073;22495;37897;64508;11013;16423;5953;3021;64;74; NA;169383;  X*
100; 110.4;39005;16742;74239;15203;13360;5876;8782;3045;61;100; NA;176252;  X*
101; 111.4;10544;11926;83809;19107;8876;10145;5612;7805;67;100; NA;157824;  X*
102; 112.4;52864;23701;93843;8258;7076;11629;5124;2535;74;100; NA;205030;  X*
103; 113.5;641212;51927;15804;112439;26199;6559;5435;3257;60;100; NA;862832;  X*
104; 114.4;147987;39038;9237;3604;6482;4602;2276;2633;64;90; NA;215859;  X*
105; 115.4;84772;19847;12665;75658;4068;8106;5868;4704;63;88; NA;215688;  X*
106; 116.4;90763;101620;24209;30366;26098;10180;7946;5165;60;66; NA;296347;  X*
107; 117.4;99789;23383;11182;9131;12511;4574;763;1018;70;53; NA;162351;  X*
108; 118.4;20840;46030;62455;13312;14171;6445;8321;5126;64;70; NA;176700;  X*
109; 119.4;141734;72572;13659;79501;5356;10616;4991;7048;63;60; NA;335477;  X*
110; 120.4;177261;23745;28598;13595;2484;2289;1527;744;56;77; NA;250243;  X*
111; 121.4;87629;56375;9298;3888;1590;837;220;286;30;66; NA;160123;  X*
112; 122.4;217703;45627;13000;2397;9023;1888;1980;843;26;51; NA;292461;  X*
113; 123.4;13450;14729;52726;12815;12875;6844;9110;3892;29;57; NA;126441;  X*
114; 124.4;182003;107790;37039;5943;34588;12740;8667;3196;40;37; NA;391966;  X*
115; 125.4;137771;13879;22667;34492;12649;11468;9994;4628;67;60; NA;247548;  X*
116; 126.4;260716;69202;73498;8917;25257;12606;5726;8709;80;70; NA;464631;  X*
117; 127.4;446904;42168;22009;14458;2532;5821;765;1000;78;60; NA;535657;  X*
118; 128.4;81912;24767;7623;4663;8525;2540;1875;1075;75;61; NA;132980;  X*
119; 129.4;55420;48874;30952;12239;3770;1495;1550;1512;50;54; NA;155812;  X*
120; 130.4;59638;40280;25959;10289;22065;14148;13473;6199;57;48; NA;192051;  X*
121; 131.4;416648;34111;3742;5442;2994;5838;2836;2159;64;34; NA;473770;  X*
122; 132.4;149443;79321;84864;8872;40888;13650;9107;8731;67;41; NA;394876;  X*
123; 133.4;553154;75604;864;133304;13550;14888;7286;5667;84;48; NA;804317;  X*
124; 134.4;288107;89154;56951;44686;17478;4819;3548;1694;63;56; NA;506437;  X*
125; 135.4;1555231;60885;49513;5317;26374;9664;6641;6529;57;69; NA;1720154;  X*
126; 136.4;23887;68217;88634;21919;50207;15047;4135;6634;57;70; NA;278680;  X*
127; 137.4;857088;158389;113294;39636;26025;18448;11175;3510;56;64; NA;1227565;  X*
128; 138.5;713804;181015;72076;36099;7740;13172;11669;13978;61;57; NA;1049553;  X*
129; 139.4;291503;92233;81380;37689;18000;19145;15818;7895;64;63; NA;563663;  X*
130; 140.4;138925;11060;1740;12717;5800;7375;2801;1659;78;61; NA;182077;  X*
131; 141.5;401602;40134;46411;22079;27503;14191;6766;2471;84;63; NA;561157;  X*
132; 142.4;64135;123554;25239;40633;8322;5455;4171;3148;81;63; NA;274657;  X*
133; 143.4;106861;20938;2246;12595;3792;2670;386;1352;78;56; NA;150840;  X*
134; 144.4;251195;152658;59109;8057;18870;13967;6552;3816;61;50; NA;514224;  X*
135; 145.4;156008;195730;31488;22704;5217;14254;6775;7357;51;35; NA;439533;  X*
136; 146.4;627402;44501;15912;2210;3073;3736;2729;509;57;29; NA;700072;  X*
137; 147.4;94061;4653;6869;2786;2773;3118;525;960;70;37; NA;115745;  X*
138; 148.4;86571;95402;39117;45876;13948;13701;6400;2787;74;43; NA;303802;  X*
139; 149.4;30975;14838;12942;100761;10366;19733;3260;1303;84;70; NA;194178;  X*
140; 150.4;123334;13409;10056;13891;2813;2169;1194;557;84;87; NA;167423;  X*
141; 151.4;52841;46876;55116;7839;19987;17409;4129;4271;80;84; NA;208468;  X*
142; 152.4;91534;51720;25592;3981;3433;4337;1486;912;78;81; NA;182995;  X*
143; 153.4;987328;309526;71064;40587;32844;19888;6814;2115;64;54; NA;1470166;  X*
144; 154.4;104293;66461;23377;6262;29920;14179;4332;5340;77;37; NA;254164;  X*
145; 155.4;312083;186489;36478;20099;5482;9037;4605;1721;60;23; NA;575994;  X*
146; 156.4;336746;64321;29493;27142;27019;11538;9243;4051;66;24; NA;509553;  X*
147; 157.4;1924727;324734;53186;70019;57667;19382;11150;5316;64;26; NA;2466181;  X*
148; 158.4;146525;111657;75380;23680;39031;12737;7941;9536;54;37; NA;426487;  X*
149; 159.4;107814;168068;22472;22473;24720;17274;3359;2084;63;34; NA;368264;  X*
150; 160.4;119356;35977;18258;535;6744;2863;462;534;56;29; NA;184729;  X*
151; 161.4;60531;43551;35492;6885;22363;10704;2690;4123;67;37; NA;186339;  X*
152; 162.5;62781;44049;46729;35121;33129;15155;8542;2995;75;40; NA;248501;  X*
153; 163.4;176073;62150;3307;15744;5771;2886;2925;936;66;43; NA;269792;  X*
154; 164.4;860093;68572;27886;28581;29627;15999;5734;3774;77;44; NA;1040266;  X*
155; 165.4;645778;164153;48932;17977;22817;8682;13171;10140;63;40; NA;931650;  X*
156; 166.4;21387;28001;5576;39663;9387;10176;7137;10602;64;43; NA;131929;  X*
157; 167.6;74022;20905;11653;70181;11744;13951;5327;6943;78;64; NA;214726;  X*
158; 168.4;416754;68931;6282;9848;18056;2957;1368;5215;63;53; NA;529411;  X*
159; 169.4;294688;26198;1580;3792;3565;2111;560;330;67;43; NA;332824;  X*
160; 170.4;242282;36412;9316;28270;12734;18738;10934;6016;74;35; NA;364702;  X*
161; 171.5;230483;34212;251;2626;3630;7482;3642;1088;78;1; NA;283414;  X*
162; 172.5;45355;25062;8683;108071;15960;16235;8574;5368;91;30; NA;233308;  X*
163; 173.4;167270;33087;54876;6354;35924;15655;8506;6997;100;51; NA;328669;  X*
164; 174.4;48070;35275;19326;41905;20644;11635;8011;4168;93;60; NA;189034;  X*
165; 175.4;163879;39365;5164;13099;4998;2262;3197;1962;75;78; NA;233926;  X*
166; 176.4;771034;49255;7912;75110;10771;26833;8159;3959;81;69; NA;953033;  X*
167; 177.5;164891;321449;7932;29957;11815;23147;7130;10550;70;50; NA;576871;  X*
168; 178.4;31503;22365;10968;98197;3734;13867;3984;3596;67;63; NA;188214;  X*
169; 179.4;59814;67490;67638;22691;39033;7919;7569;5468;70;70; NA;277622;  X*
170; 180.5;227673;92268;44830;60846;7766;10520;4404;6753;57;70; NA;455060;  X
171; 181.4;2765184;255053;17681;178579;47455;24678;5076;7481;56;90; NA;3301187;  X
172; 182.4;161454;55522;6176;12801;3046;3199;1929;1982;47;64; NA;246109;  X
173; 183.4;20739;31576;11823;39240;17726;4405;9785;4006;47;64; NA;139300;  X
174; 184.4;12344;85264;18702;70495;27094;20036;5066;5748;54;61; NA;244749;  X
175; 185.4;319062;143733;3225;71181;39480;8097;8425;6546;50;56; NA;599749;  X
176; 186.4;127716;22951;27542;8217;14741;5442;3404;3421;57;67; NA;213434;  X
177; 187.4;30898;46786;14956;24986;13595;14067;4123;7906;70;61; NA;157317;  X
178; 188.4;1942927;70780;33387;36375;15322;17127;4995;10160;70;63; NA;2131073;  X
179; 189.4;67154;29478;25075;36784;10672;14375;4109;7655;88;75; NA;195302;  X
180; 190.4;74148;27396;76514;14689;4511;7798;4659;8174;84;87; NA;217889;  X
181; 191.4;41550;29473;13928;33589;17100;8530;8559;19998;81;91; NA;172727;  X
182; 192.4;35667;11486;10193;63321;7023;6608;4376;6420;77;100; NA;145094;  X
183; 193.4;107975;7921;26619;20530;16415;11293;2761;5062;78;100; NA;198576;  X
184; 194.5;107304;14137;5891;986;4002;4657;2003;1719;91;84; NA;140699;  X
185; 195.4;113874;6340;39637;29288;22251;4803;6126;4601;84;94; NA;226920;  X
186; 196.4;27587;29186;22465;27382;4674;6894;6165;2856;87;87; NA;127209;  X
187; 197.4;25192;10651;15790;26305;21816;12871;4001;6245;88;81; NA;122871;  X
188; 198.4;69611;16786;54362;7480;4617;4680;6446;2128;75;100; NA;166110;  X
189; 199.4;122181;139203;11731;20954;16925;8360;7751;4664;74;80; NA;331769;  X
190; 200.4;164912;40441;2873;683;1583;860;655;386;56;50; NA;212393;  X
191; 201.4;27424;12014;26163;13259;4777;7195;7307;3454;51;56; NA;101593;  X
192; 202.4;75298;65890;18156;18346;21830;14928;6930;9399;61;35; NA;230777;  X
193; 203.4;445680;40298;21160;5669;4238;1884;1757;1530;53;48; NA;522216;  X
194; 204.4;24334;21123;12467;46306;5672;9127;7489;3228;70;81; NA;129746;  X
195; 205.4;50995;13416;37195;42902;4831;7281;2206;3750;64;87; NA;162576;  X
196; 206.4;29022;11379;57790;18110;21861;13154;10052;8698;64;100; NA;170066;  X
197; 207.4;133963;11294;8666;5081;3778;1618;687;1004;75;100; NA;166091;  X
198; 208.4;62829;39548;15109;17302;12189;8597;4500;4819;77;93; NA;164893;  X
199; 209.4;66801;82481;28265;17902;25235;6292;8038;4933;69;74; NA;239947;  X
200; 210.4;135428;19405;18715;6291;1530;845;1289;1639;48;69; NA;185142;  X
201; 211.4;36037;79090;34502;12258;15026;15717;6971;2731;56;63; NA;202332;  X
202; 212.4;42807;34224;56920;8047;24781;3003;4373;2854;40;69; NA;177009;  X
203; 213.4;97766;39287;67404;9284;17956;7810;5860;16841;43;81; NA;262208;  X
204; 214.4;42534;25746;38345;18520;18178;13557;15236;4514;66;78; NA;176630;  X
205; 215.4;626649;25403;3604;19105;6949;4639;590;1503;64;81; NA;688442;  X
206; 216.4;178524;10293;8175;4792;2710;2543;1915;707;78;78; NA;209659;  X
207; 217.4;468445;33099;17460;404;3159;4585;3482;1762;81;67; NA;532396;  X
208; 218.4;107988;49396;58698;3090;15256;4237;8868;4921;66;67; NA;252454;  X
209; 219.4;193521;13688;2826;2268;4246;2556;2316;1359;67;57; NA;222780;  X
210; 220.4;37818;30288;32411;7457;8171;7020;5789;5109;66;60; NA;134063;  X
211; 221.4;179801;242866;13493;6655;15998;4547;8817;4538;48;38; NA;476715;  X
212; 222.4;95381;45666;23332;11866;15984;11732;3447;2903;63;30; NA;210311;  X
213; 224.4;257134;25505;18865;28949;14176;20009;7823;4789;70;44; NA;377250;  X
214; 225.4;155536;114367;51350;13154;11408;12079;6521;3971;67;38; NA;368386;  X
215; 226.4;191626;92773;33360;29480;14244;26054;14157;8366;93;57; NA;410060;  X
216; 227.4;365959;32809;23106;19730;17898;9352;12722;14346;91;63; NA;495922;  X
217; 228.4;2245426;151942;24083;23139;51755;18705;6534;4787;80;48; NA;2526371;  X
218; 229.4;661325;130506;86071;25383;20305;7883;7230;4436;70;53; NA;943139;  X
219; 230.4;341753;236825;81371;37595;24683;22816;3210;4140;61;51; NA;752393;  X
220; 231.4;54826;53118;21184;7256;6440;13723;6677;5899;66;44; NA;169123;  X
221; 232.4;123076;123950;30497;14520;23654;7216;9039;10301;57;48; NA;342253;  X
222; 233.4;85810;12896;11124;4484;3927;3023;4480;2889;69;50; NA;128633;  X
223; 234.4;93327;6712;12515;6354;5768;2503;2483;2088;74;63; NA;131750;  X
224; 235.4;1001566;143209;15827;10598;10303;13876;8329;7579;64;51; NA;1211287;  X
225; 236.4;179976;47974;40570;3527;13347;7549;17213;7152;70;61; NA;317308;  X
226; 237.4;58866;14837;14206;13411;4449;2526;2871;3111;64;64; NA;114277;  X
227; 238.4;658797;61531;69082;16852;7210;21111;11891;20185;69;63; NA;866659;  X
228; 239.4;35434;33230;47342;12132;11497;4939;6444;7500;64;84; NA;158518;  X
229; 240.4;47459;12536;1533;2114;1668;554;570;261;54;77; NA;66695;  X
230; 241.4;264548;29743;11607;3385;1577;9041;2854;1176;69;63; NA;323931;  X
231; 242.4;609663;241730;82537;23474;13107;11641;12700;8615;54;51; NA;1003467;  X
232; 243.4;896178;270168;64668;26956;13153;11305;15472;9121;48;37; NA;1307021;  X
233; 244.4;171447;23675;7388;14619;2640;6258;1852;1823;63;48; NA;229702;  X
234; 245.4;161936;44963;21912;1744;4106;2720;1119;340;44;50; NA;238840;  X
235; 246.4;50360;47484;35623;3876;17638;6405;9946;6720;53;54; NA;178052;  X
236; 247.4;144978;7749;12317;6131;3624;1191;2525;2045;57;70; NA;180560;  X
237; 248.4;367594;12278;14140;7220;2877;4019;3305;1699;56;77; NA;413132;  X
238; 249.4;97476;13384;17425;6718;6336;5166;4304;617;69;84; NA;151426;  X
239; 250.4;28411;15400;55007;9588;7174;8135;4448;4411;75;100; NA;132574;  X
240; 251.4;31659;13713;48955;12563;6911;8515;5048;5431;83;100; NA;132795;  X
241; 252.4;122596;14677;9738;1665;6816;4323;1498;1637;88;94; NA;162950;  X
242; 253.4;475702;181107;78393;6279;25391;10311;10056;4570;74;84; NA;791809;  X
243; 254.4;1175811;40881;42846;28086;19143;20331;6324;5078;80;75; NA;1338500;  X
244; 255.4;136031;29218;7572;4972;6910;1728;2248;1213;67;54; NA;189892;  X
245; 256.4;496886;14625;9181;11031;30137;4944;5097;3024;64;51; NA;574925;  X
246; 257.4;99651;155163;81520;31504;21673;11819;4162;6550;66;56; NA;412042;  X
247; 258.4;778794;132134;8226;37739;20423;15802;5550;3006;60;43; NA;1001674;  X
248; 259.4;38873;24890;5302;9046;1986;4220;1085;774;70;48; NA;86176;  X
249; 260.4;1132821;875142;31052;23631;17684;4884;4432;2332;40;27; NA;2091978;  X
250; 261.4;71377;43143;51045;12954;6245;10351;4841;1823;51;35; NA;201779;  X
251; 262.4;59856;93286;33795;13402;36124;9202;5804;2486;50;37; NA;253955;  X
252; 263.4;86594;17049;38660;14965;14455;12970;2564;5376;54;48; NA;192633;  X
253; 264.4;29792;52176;38718;12320;8401;20024;5694;7926;91;74; NA;175051;  X
254; 265.4;14545;41683;80207;47839;6505;13507;6597;2328;90;80; NA;213211;  X
255; 266.4;650378;40664;23147;45652;10261;9987;5643;2590;93;93; NA;788322;  X
256; 267.4;32978;130484;84373;20919;13434;7399;6393;3339;77;87; NA;299319;  X
257; 268.4;25282;45622;40332;12718;14945;7766;3580;3914;66;87; NA;154159;  X
258; 269.4;89073;30498;56689;27332;28462;17919;4019;1505;75;81; NA;255497;  X
259; 270.4;20120;25097;47680;4757;8028;5776;3468;2266;74;81; NA;117192;  X
260; 271.4;135944;149104;44646;32206;14854;7399;4686;8160;74;78; NA;396999;  X
261; 272.4;32565;10756;4581;8010;11204;4134;1365;925;81;75; NA;73540;  X
262; 273.4;28742;37311;2743;5031;8004;2888;1995;1259;74;54; NA;87973;  X
263; 274.4;58569;75503;72476;35088;20463;9601;3149;3624;69;53; NA;278473;  X
264; 275.4;24791;34406;72642;31500;19724;10121;3702;4169;77;66; NA;201055;  X
265; 276.4;34864;35425;85038;23429;17640;10285;2243;3110;66;80; NA;212034;  X
266; 277.4;26920;28149;27303;9512;13637;9888;2320;1930;75;94; NA;119659;  X
267; 278.4;51691;30940;50859;31146;38996;8726;4005;1699;80;94; NA;218062;  X
268; 279.4;30631;17608;18282;13568;5706;7587;5411;2778;88;90; NA;101571;  X
269; 280.4;23086;60488;23027;4956;19523;3952;5441;4089;83;70; NA;144562;  X
270; 281.4;21186;19694;51781;7080;12713;13063;4635;2737;84;78; NA;132889;  X
271; 282.4;42212;18232;63841;16802;11158;10600;3286;4572;87;84; NA;170703;  X
272; 283.4;78142;19951;39603;15742;13354;22570;3263;3898;93;84; NA;196523;  X
273; 284.4;43053;15038;21869;13847;2901;5631;6515;3681;100;100; NA;112535;  X
274; 285.4;31927;11403;56806;7420;7980;6118;5782;2970;93;100; NA;130406;  X
275; 286.4;712615;28311;87307;32981;15938;8077;13431;2848;87;100; NA;901508;  X
276; 287.4;47606;4754;4511;4552;2517;2731;2969;383;81;100; NA;70023;  X
277; 288.4;8564;36730;88227;13641;3177;9242;2201;2157;78;100; NA;163939;  X
278; 289.4;16540;10224;21459;4238;11437;5006;5542;1633;84;100; NA;76079;  X
279; 290.4;52604;3971;26274;5910;10693;3379;2361;3627;90;100; NA;108819;  X
280; 291.4;21230;18754;20559;7555;18945;6787;2869;6471;88;96; NA;103170;  X
281; 292.4;29225;16620;33553;18058;17934;7082;1408;2325;91;90; NA;126205;  X
282; 293.4;17648;12202;21224;6334;8411;7492;2874;2149;94;90; NA;78334;  X
283; 294.4;28270;32527;36209;14312;16580;4644;11898;1931;90;83; NA;146371;  X
284; 295.4;13871;19214;22540;16210;10061;5388;3402;7261;83;88; NA;97947;  X
285; 296.4;5940;31491;33931;9013;15814;8323;5882;1717;87;83; NA;112111;  X
286; 297.4;270353;40989;20727;8205;4618;3630;937;1227;74;78; NA;350686;  X
287; 298.4;15592;21039;20016;12581;8468;8752;4379;1967;83;77; NA;92794;  X
288; 299.4;17906;30000;56534;7132;16059;4179;4981;3926;78;78; NA;140717;  X
289; 300.4;5420;61892;14530;15862;3551;8197;5984;1795;75;74; NA;117231;  X
290; 301.4;35005;6817;39357;5643;25045;9240;4477;3150;88;78; NA;128734;  X
291; 302.4;3673;37005;35300;3177;11063;4326;4664;1890;78;77; NA;101098;  X
292; 303.4;61535;19984;46467;7247;18491;7591;3726;1762;84;75; NA;166803;  X
293; 304.4;25454;36011;39388;16552;13051;16889;3812;4048;93;80; NA;155205;  X
294; 305.4;18670;71583;52334;15189;6626;6279;6999;1711;77;78; NA;179391;  X
295; 306.4;91343;46571;39150;31181;26368;6003;6851;1925;75;78; NA;249392;  X
296; 307.4;673513;111165;38705;19739;59036;16382;3851;3487;74;64; NA;925878;  X
297; 308.4;71316;94158;19247;29735;17252;11989;3711;6247;63;56; NA;253655;  X
298; 309.4;60368;10092;9923;1524;6810;2575;869;1105;74;51; NA;93266;  X
299; 310.4;76631;22990;9800;2662;5170;2432;2014;1018;77;43; NA;122717;  X
300; 311.4;34089;29831;52011;4600;11810;3447;5257;790;67;57; NA;141835;  X
301; 312.4;136319;6233;3603;4583;4267;3283;1340;634;78;64; NA;160262;  X
302; 313.4;14748;28768;64323;17015;7452;3131;3490;1894;63;78; NA;140821;  X
303; 314.4;95065;32281;14651;3479;1643;1800;478;685;57;80; NA;150082;  X
304; 315.4;78375;47660;60618;23121;10650;6428;7579;6696;57;81; NA;241127;  X
305; 316.4;52556;27390;29304;27977;10948;4038;6118;1464;43;90; NA;159795;  X
306; 317.4;75401;37860;44567;17070;20651;4751;3289;2443;48;81; NA;206032;  X
307; 318.4;454772;55186;7960;6291;16055;6707;7610;2399;57;69; NA;556980;  X
308; 319.4;230599;167897;210927;20910;8988;10166;5356;4881;51;69; NA;659724;  X
309; 320.4;73295;27559;5876;1692;2047;1212;1288;731;48;50; NA;113700;  X
310; 321.4;66658;80669;10061;21865;8436;5161;3935;5795;48;38; NA;202580;  X
311; 322.4;129343;166605;121208;9980;12534;14851;9453;2370;41;54; NA;466344;  X
