obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
56, 61.0, 1216013, 800935, 232447, 59548, 42713, 34431, 20385, 8042, 43, 75, NA, 2414514,  X*
57, 61.9, 264208, 28556, 18193, 12056, 3679, 3800, 1070, 2172, 40, 80, NA, 333734,  X*
58, 63.0, 244558, 31468, 22409, 16519, 4995, 3811, 1058, 616, 29, 67, NA, 325434,  X*
59, 63.9, 1692896, 812027, 96533, 45002, 119987, 56547, 8817, 7014, 26, 47, NA, 2838823,  X*
60, 64.9, 120273, 100004, 3897, 66449, 14311, 4868, 3345, 3006, 24, 53, NA, 316153,  X*
61, 66.1, 80837, 30047, 14899, 21929, 11339, 3971, 2042, 752, 23, 53, NA, 165816,  X*
62, 67.0, 141545, 22221, 5045, 3170, 3295, 3963, 265, 175, 40, 38, NA, 179679,  X*
63, 67.9, 26624, 125563, 6221, 26564, 21864, 10009, 3296, 4268, 41, 44, NA, 224409,  X*
64, 68.9, 160855, 96827, 8488, 57570, 7470, 11858, 6150, 10226, 56, 44, NA, 359444,  X*
65, 69.9, 68056, 57942, 37882, 89061, 48144, 35902, 9388, 4911, 78, 47, NA, 351286,  X*
66, 70.9, 167717, 24329, 11815, 5723, 2815, 4353, 1030, 1146, 74, 53, NA, 218928,  X*
67, 71.9, 124847, 191328, 13145, 101686, 60702, 19863, 6398, 4562, 74, 60, NA, 522531,  X*
68, 72.9, 658839, 119483, 53893, 62115, 37738, 23825, 2758, 7848, 78, 61, NA, 966499,  X*
69, 74.0, 87856, 133174, 16246, 21584, 12781, 7939, 5628, 4044, 54, 47, NA, 289252,  X*
70, 75.0, 45138, 72099, 25337, 28190, 46064, 20669, 3490, 2144, 61, 43, NA, 243131,  X*
71, 76.0, 230029, 35502, 20925, 26457, 21181, 5345, 1062, 608, 61, 48, NA, 341109,  X*
72, 76.9, 33513, 21225, 6123, 108816, 26079, 11770, 4673, 1855, 57, 61, NA, 214054,  X*
73, 78.0, 2963299, 236691, 53081, 102445, 73884, 31563, 9153, 3267, 69, 67, NA, 3473383,  X*
74, 78.9, 585554, 47493, 26465, 11451, 11988, 4803, 1807, 2451, 51, 74, NA, 692012,  X*
