obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 4.0, 887349, 623386, 62574, 62218, 95601, 33293, 13707, 10892, NA, NA, NA, 1789020,  X*
2, 4.9, 81293, 60996, 10312, 52083, 42480, 14814, 7974, 3323, NA, NA, NA, 273275,  X*
3, 6.0, 917202, 19512, 16976, 6153, 4646, 3198, 941, 1034, NA, NA, NA, 969662,  X*
4, 6.9, 31396, 1221, 1245, 553, 2825, 719, 609, 348, 53, 41, NA, 38916,  X*
5, 7.9, 100415, 58457, 10473, 22779, 8537, 3257, 3723, 911, 40, 48, NA, 208552,  X*
6, 8.9, 606432, 42729, 15250, 6176, 23101, 11239, 1796, 1417, 48, 44, NA, 708140,  X*
7, 15.9, 1095385, 30969, 19583, 15737, 15518, 18302, 20430, 5858, 61, 51, NA, 1221782,  X*
8, 17.9, 1544644, 1150951, 46732, 77878, 31180, 29793, 14553, 10603, 29, 35, NA, 2906334,  X*
9, 18.9, 341042, 5865, 2004, 3409, 821, 537, 265, 337, 35, 40, NA, 354280,  X*
10, 19.9, 47261, 9067, 34178, 7283, 6153, 7031, 3565, 3147, 34, 64, NA, 117685,  X*
11, 20.9, 46607, 27948, 21664, 16569, 1894, 20970, 5349, 4024, 37, 69, NA, 145025,  X*
12, 22.0, 63547, 62850, 17338, 9754, 8547, 10563, 7099, 5806, 57, 84, NA, 185504,  X*
13, 22.9, 75061, 12200, 4501, 1998, 3960, 1776, 673, 916, 66, 75, NA, 101085,  X*
14, 23.9, 45330, 122630, 33340, 13192, 18044, 9273, 3480, 1919, 54, 51, NA, 247208,  X*
15, 24.9, 37576, 68864, 18824, 14617, 20113, 5717, 12010, 2749, 30, 41, NA, 180470,  X*
16, 26.9, 800399, 431378, 34830, 33089, 31544, 22829, 3471, 7575, 17, 30, NA, 1365115,  X*
17, 27.9, 9350, 3301, 657, 1641, 1556, 2976, 3960, 3896, 41, 27, NA, 27337,  X*
18, 28.9, 384076, 66957, 2948, 13105, 11161, 8109, 7020, 5603, 48, 21, NA, 498979,  X*
19, 30.0, 49597, 8576, 10656, 9066, 1998, 4409, 1734, 2313, 63, 38, NA, 88349,  X*
20, 30.9, 350615, 23113, 563, 4977, 2320, 2262, 586, 1295, 69, 41, NA, 385731,  X*
21, 31.9, 785105, 118066, 184376, 186788, 32232, 50011, 71173, 22560, 50, 66, NA, 1450311,  X*
22, 32.9, 178828, 15264, 5828, 8697, 2538, 2302, 1376, 243, 47, 84, NA, 215076,  X*
23, 35.9, 255401, 48234, 10879, 4826, 3926, 1159, 475, 411, 20, 66, NA, 325311,  X*
24, 36.9, 963123, 151667, 39984, 21599, 31483, 5658, 8438, 3353, 7, 75, NA, 1225305,  X*
25, 39.9, 236148, 4599, 2556, 3522, 4669, 1897, 599, 257, 14, 57, NA, 254247,  X*
26, 40.9, 163307, 12700, 43553, 8548, 10166, 9553, 3756, 4364, 24, 66, NA, 255947,  X*
27, 42.0, 857143, 185203, 45212, 48942, 16992, 24786, 23458, 8131, 44, 70, NA, 1209867,  X*
28, 42.9, 100185, 69204, 49104, 29303, 9327, 11376, 10810, 5069, 57, 84, NA, 284378,  X*
29, 43.9, 1129385, 222784, 10489, 10571, 7739, 9141, 3928, 6583, 38, 60, NA, 1400620,  X*
30, 44.9, 1755168, 543599, 141984, 28861, 222312, 45966, 70131, 92954, 27, 34, NA, 2900975,  X*
31, 45.9, 808096, 164629, 27096, 27453, 13217, 16252, 7343, 5384, 26, 27, NA, 1069470,  X*
32, 46.9, 1009897, 707261, 321412, 128643, 97265, 30831, 60580, 39530, 13, 21, NA, 2395419,  X*
33, 47.9, 130820, 54267, 35560, 6859, 6532, 7974, 5048, 9593, 24, 47, NA, 256653,  X*
34, 48.9, 1495139, 825638, 418883, 275890, 99872, 78562, 109514, 69266, 21, 61, NA, 3372764,  X*
35, 49.9, 1808952, 312619, 68477, 58929, 24445, 27608, 7599, 17767, 17, 64, NA, 2326396,  X*
36, 50.9, 1368416, 124087, 103454, 49782, 16374, 36926, 16562, 21865, 38, 70, NA, 1737466,  X*
37, 51.9, 88129, 24032, 19600, 5420, 4942, 3449, 5387, 3171, 37, 75, NA, 154130,  X*
38, 53.2, 961697, 94228, 652, 18412, 13204, 5862, 5790, 6740, 37, 57, NA, 1106585,  X*
39, 54.0, 468527, 39881, 14231, 1542, 4194, 3518, 2374, 3169, 37, 57, NA, 537436,  X*
40, 55.9, 1335494, 559536, 157950, 25768, 28333, 58378, 24940, 15194, 29, 43, NA, 2205593,  X*
41, 57.0, 250962, 167117, 18891, 19021, 32356, 22673, 20447, 4560, 35, 23, NA, 536027,  X*
42, 58.0, 1686021, 173912, 21877, 18243, 38771, 25473, 18739, 35556, 44, 21, NA, 2018592,  X*
43, 58.9, 1549613, 628431, 173808, 47662, 45018, 10384, 24364, 42972, 29, 21, NA, 2522252,  X*
44, 60.0, 121999, 42511, 13450, 6598, 15017, 27717, 12014, 9302, 51, 17, NA, 248608,  X*
45, 60.9, 707765, 53113, 48262, 132290, 14574, 26585, 7711, 12909, 51, 48, NA, 1003209,  X*
