obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
56, 66.9, 1113859, 136336, 32247, 37657, 18360, 7763, 11888, 13897, 16, 37, NA, 1372007,  X*
57, 67.9, 1277473, 300164, 15798, 86722, 9170, 19934, 25206, 17123, 10, 24, NA, 1751590,  X*
58, 69.0, 502033, 61294, 4548, 14892, 8845, 20456, 19641, 6409, 8, 30, NA, 638118,  X*
59, 70.0, 635763, 336840, 30218, 17037, 33566, 20455, 19161, 9708, 14, 30, NA, 1102748,  X*
60, 70.9, 1432333, 359232, 187373, 8060, 22446, 63861, 54209, 43641, 24, 29, NA, 2171155,  X*
61, 72.0, 978431, 340715, 39690, 61183, 64037, 56241, 55518, 57441, 34, 26, NA, 1653256,  X*
62, 73.0, 234270, 401551, 102903, 41766, 60442, 45056, 74231, 46742, 23, 29, NA, 1006961,  X*
63, 73.9, 247492, 37219, 3242, 12625, 5299, 14326, 27602, 11916, 38, 40, NA, 359721,  X*
64, 74.9, 738711, 509822, 24447, 41499, 22707, 70642, 31284, 34954, 38, 23, NA, 1474066,  X*
65, 75.9, 1149854, 757602, 103873, 234027, 191622, 127740, 160403, 66699, 38, 27, NA, 2791820,  X*
66, 79.0, 934860, 144187, 257411, 42868, 23568, 50492, 27307, 22766, 41, 48, NA, 1503459,  X*
67, 79.9, 240173, 9333, 11176, 2619, 1916, 5175, 4353, 2379, 40, 60, NA, 277124,  X*
68, 80.9, 321584, 131519, 7236, 10127, 5352, 3140, 5414, 1059, 23, 60, NA, 485431,  X*
69, 82.0, 2768928, 758514, 951625, 50018, 93351, 162169, 190231, 167677, 20, 75, NA, 5142513,  X*
70, 83.9, 807629, 139303, 48829, 16123, 34019, 13712, 28266, 9917, 14, 57, NA, 1097798,  X*
71, 84.9, 949909, 83669, 2533, 2641, 7878, 8513, 4231, 2573, 8, 27, NA, 1061947,  X*
72, 86.0, 155450, 5730, 11039, 8933, 3025, 5629, 2727, 4967, 29, 56, NA, 197500,  X*
73, 86.9, 176919, 36077, 10405, 5811, 3018, 1750, 1774, 952, 21, 47, NA, 236706,  X*
74, 87.9, 310666, 187018, 26768, 17332, 16874, 8378, 15198, 5674, 14, 41, NA, 587908,  X*
75, 88.9, 65501, 32865, 5118, 4178, 2563, 3452, 3318, 1612, 13, 60, NA, 118607,  X*
76, 90.0, 1088683, 17293, 6896, 924, 2622, 2230, 4164, 1462, 4, 44, NA, 1124274,  X*
77, 90.9, 226875, 49930, 23824, 18691, 2155, 12985, 3452, 2141, 17, 50, NA, 340053,  X*
