obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
56, 58.0, 403648, 183909, 12804, 20703, 10806, 6734, 5220, 7774, 77, 54, NA, 651598,  X*
57, 59.0, 346784, 23475, 7103, 6403, 3786, 4760, 693, 578, 87, 61, NA, 393582,  X*
58, 60.0, 1032993, 79532, 34147, 53057, 4845, 4736, 5148, 3972, 70, 66, NA, 1218430,  X*
59, 61.0, 773147, 60314, 21996, 3525, 10436, 7103, 9394, 3293, 61, 66, NA, 889208,  X*
60, 62.0, 73164, 12087, 2291, 1888, 1059, 761, 805, 1159, 64, 74, NA, 93214,  X*
61, 63.0, 494603, 42238, 45489, 12854, 13569, 6850, 2432, 1123, 57, 83, NA, 619158,  X*
62, 64.0, 637047, 43245, 18779, 2344, 3733, 1280, 2118, 700, 54, 75, NA, 709246,  X*
63, 65.0, 136766, 154383, 19478, 21790, 5664, 16548, 4063, 2744, 56, 70, NA, 361436,  X*
64, 66.0, 282553, 50379, 24103, 4256, 2778, 2364, 1419, 2265, 53, 77, NA, 370117,  X*
65, 67.0, 325594, 33406, 11799, 3206, 2772, 1269, 637, 580, 43, 64, NA, 379263,  X*
66, 68.0, 563874, 227203, 34591, 3449, 13140, 8501, 4166, 2319, 48, 51, NA, 857243,  X*
67, 69.0, 157932, 210284, 9214, 15735, 10627, 6246, 4369, 1679, 34, 43, NA, 416086,  X*
68, 70.0, 148982, 15645, 4431, 1363, 3949, 1648, 1431, 493, 43, 35, NA, 177942,  X*
69, 71.0, 659493, 443077, 83201, 26473, 95901, 25038, 12700, 4827, 48, 26, NA, 1350710,  X*
70, 72.0, 87308, 134467, 20733, 13759, 18814, 6376, 4371, 515, 50, 34, NA, 286343,  X*
71, 73.0, 636206, 724557, 96046, 110060, 59561, 46898, 27759, 6920, 56, 41, NA, 1708007,  X*
72, 74.0, 599025, 176173, 83410, 87386, 14344, 53361, 13435, 3720, 64, 53, NA, 1030854,  X*
73, 75.0, 269142, 107346, 19170, 19023, 8604, 7542, 5966, 941, 66, 57, NA, 437734,  X*
74, 76.0, 1320178, 172033, 115472, 174230, 125215, 38575, 13261, 4576, 77, 74, NA, 1963540,  X*
75, 77.0, 99281, 116387, 2132, 17577, 14328, 5668, 4882, 1384, 75, 66, NA, 261639,  X*
76, 78.0, 358721, 104331, 7523, 7172, 19860, 2909, 8499, 1503, 53, 44, NA, 510518,  X*
77, 79.0, 931756, 277693, 103759, 80663, 26837, 22968, 13636, 7827, 53, 53, NA, 1465139,  X*
78, 80.0, 959368, 89715, 138361, 66033, 64151, 33938, 19493, 6546, 56, 56, NA, 1377605,  X*
79, 81.0, 147121, 110744, 54302, 4499, 16491, 6703, 5001, 1463, 56, 69, NA, 346324,  X*
80, 82.0, 274257, 160261, 23464, 8437, 6434, 11580, 2653, 1094, 67, 77, NA, 488180,  X*
81, 83.0, 1127912, 263434, 41006, 297636, 32646, 35848, 26574, 6156, 69, 81, NA, 1831212,  X*
82, 84.0, 646041, 34050, 5936, 9155, 11983, 8244, 2806, 969, 75, 64, NA, 719184,  X*
83, 85.0, 1716460, 38453, 80801, 11634, 7521, 22200, 7747, 3666, 90, 80, NA, 1888482,  X*
84, 86.0, 845838, 158484, 34219, 38274, 8971, 5105, 3062, 1158, 77, 88, NA, 1095111,  X*
85, 87.0, 214812, 117610, 23457, 8896, 6743, 1494, 1181, 2691, 56, 70, NA, 376884,  X*
86, 88.0, 338018, 41140, 6855, 4872, 2119, 1909, 1553, 1322, 38, 69, NA, 397788,  X*
87, 89.0, 1820741, 359426, 83823, 38285, 17879, 16717, 16906, 7320, 23, 53, NA, 2361097,  X*
88, 90.0, 972218, 69041, 41835, 4109, 4973, 2233, 6166, 2793, 21, 56, NA, 1103368,  X*
89, 91.0, 1392357, 464258, 19119, 12842, 33570, 19220, 11783, 5494, 37, 40, NA, 1958643,  X*
90, 92.0, 67248, 9904, 2118, 4919, 2481, 881, 583, 520, 40, 50, NA, 88654,  X*
91, 93.0, 89614, 4811, 2198, 2808, 2119, 811, 533, 187, 48, 57, NA, 103081,  X*
92, 94.0, 2020675, 100148, 49707, 60150, 5790, 7297, 10296, 7756, 56, 64, NA, 2261819,  X*
93, 95.0, 695414, 126339, 3422, 8757, 5905, 1257, 3266, 603, 40, 67, NA, 844963,  X*
94, 96.0, 1544060, 338058, 68928, 19836, 20884, 7514, 14910, 2145, 27, 56, NA, 2016335,  X*
95, 97.0, 771031, 76335, 8625, 26001, 4143, 4115, 6603, 1334, 21, 53, NA, 898187,  X*
96, 98.0, 2307728, 330304, 165839, 41401, 28724, 18202, 7567, 7309, 20, 47, NA, 2907074,  X*
97, 99.0, 228829, 116234, 15675, 3160, 1915, 2691, 3467, 1643, 27, 54, NA, 373614,  X*
98, 100.0, 1029924, 78775, 26935, 19041, 36390, 9194, 11433, 3963, 43, 60, NA, 1215655,  X*
99, 101.0, 657376, 55981, 19446, 14067, 2650, 2761, 3221, 1103, 40, 63, NA, 756605,  X*
100, 102.0, 294318, 217017, 48944, 14550, 22829, 9856, 3452, 2936, 41, 53, NA, 613902,  X*
101, 103.0, 1050429, 564980, 61094, 72959, 27532, 18677, 8352, 4799, 44, 57, NA, 1808822,  X*
102, 104.0, 362939, 74075, 38000, 18255, 13991, 7073, 3902, 2072, 43, 64, NA, 520307,  X*
103, 105.0, 561253, 62843, 19376, 97304, 11583, 28173, 10284, 2519, 60, 74, NA, 793335,  X*
104, 106.0, 70330, 74315, 923, 6507, 3143, 4800, 2232, 692, 66, 60, NA, 162942,  X*
105, 107.0, 1113904, 87003, 64336, 28387, 13025, 4698, 1911, 1869, 66, 77, NA, 1315133,  X*
106, 108.0, 1899581, 789942, 192510, 11192, 32313, 23629, 11546, 6933, 57, 66, NA, 2967646,  X*
107, 109.0, 42031, 22608, 3146, 1083, 2558, 1391, 872, 249, 44, 43, NA, 73938,  X*
108, 110.0, 528772, 93845, 59731, 16328, 6328, 3146, 4210, 1789, 30, 69, NA, 714149,  X*
109, 111.0, 177362, 68450, 28160, 6274, 4603, 3676, 2021, 840, 35, 61, NA, 291386,  X*
110, 112.0, 1685042, 284533, 210237, 161204, 32208, 26677, 45266, 4419, 41, 80, NA, 2449586,  X*
111, 113.0, 231680, 77628, 35434, 28219, 21581, 9398, 4481, 2268, 44, 93, NA, 410689,  X*
112, 114.0, 395004, 352895, 159797, 16488, 22886, 20246, 11300, 4331, 51, 87, NA, 982947,  X*
113, 115.0, 66232, 33020, 3796, 8608, 1630, 1416, 884, 846, 50, 83, NA, 116432,  X*
114, 116.0, 965256, 102887, 28789, 24622, 13617, 3819, 1924, 966, 43, 74, NA, 1141880,  X*
115, 117.0, 679622, 217724, 26642, 3093, 15944, 5643, 2033, 542, 30, 53, NA, 951243,  X*
116, 118.0, 763720, 3558, 6732, 5420, 3245, 1626, 891, 623, 43, 67, NA, 785815,  X*
117, 119.0, 667783, 120142, 7313, 19469, 6751, 3319, 2495, 1775, 40, 61, NA, 829047,  X*
118, 120.0, 491562, 217540, 34365, 19251, 5982, 5464, 3332, 2757, 37, 53, NA, 780253,  X*
119, 121.0, 2228318, 561493, 71605, 64303, 71217, 27369, 18372, 7636, 43, 60, NA, 3050313,  X*
120, 122.0, 1201489, 899662, 16846, 44021, 47361, 26379, 8697, 3812, 27, 23, NA, 2248267,  X*
121, 123.0, 516721, 451213, 3811, 24574, 50848, 41482, 16157, 10754, 43, 7, NA, 1115560,  X*
122, 124.0, 1388190, 169317, 137845, 192552, 82865, 59856, 23208, 7145, 63, 23, NA, 2060978,  X*
123, 125.0, 612498, 193373, 141037, 164151, 28277, 35787, 13532, 10701, 69, 44, NA, 1199356,  X*
124, 126.0, 372535, 384342, 122229, 179021, 46939, 21224, 30675, 5791, 70, 74, NA, 1162756,  X*
125, 127.0, 337543, 124397, 11882, 16101, 9626, 13386, 2762, 792, 70, 90, NA, 516489,  X*
126, 128.0, 1446726, 604092, 168216, 51343, 55602, 34940, 11096, 14549, 61, 77, NA, 2386564,  X*
127, 129.0, 610479, 302057, 96391, 53401, 119234, 36165, 18098, 7256, 63, 61, NA, 1243081,  X*
128, 130.0, 801253, 311755, 83332, 106877, 25483, 35887, 18926, 5417, 70, 56, NA, 1388930,  X*
129, 131.0, 429602, 371772, 116807, 55093, 61253, 43077, 17129, 5347, 69, 64, NA, 1100080,  X*
130, 132.0, 111525, 186947, 5775, 17954, 11060, 12015, 2551, 1295, 70, 51, NA, 349122,  X*
131, 133.0, 1035387, 169672, 179565, 65020, 40738, 25052, 37839, 8618, 69, 64, NA, 1561891,  X*
132, 134.0, 960384, 380567, 201233, 89978, 63794, 33271, 15800, 5564, 66, 66, NA, 1750591,  X*
133, 135.0, 2475333, 1130952, 101761, 18452, 59160, 34615, 21773, 4068, 56, 51, NA, 3846114,  X*
134, 136.0, 202047, 361533, 45691, 73421, 89538, 26871, 24678, 3428, 56, 60, NA, 827207,  X*
135, 137.0, 1261649, 73915, 14769, 20389, 16156, 8133, 2948, 1673, 57, 48, NA, 1399632,  X*
136, 138.0, 687231, 945349, 166279, 37797, 146950, 30072, 26608, 8130, 50, 35, NA, 2048416,  X*
137, 139.0, 430280, 48381, 3995, 25563, 24655, 8483, 4034, 1874, 64, 51, NA, 547265,  X*
138, 140.0, 871115, 191898, 48807, 29440, 66467, 53157, 15232, 4955, 78, 51, NA, 1281071,  X*
139, 141.0, 402642, 534021, 91504, 154881, 139560, 37368, 16855, 5598, 74, 51, NA, 1382429,  X*
140, 142.0, 900706, 87176, 16745, 12953, 26633, 8334, 4410, 1227, 84, 54, NA, 1058184,  X*
141, 143.0, 548602, 434677, 67564, 165897, 104719, 34027, 13614, 5676, 77, 56, NA, 1374776,  X*
142, 144.0, 869408, 316820, 59004, 86284, 99494, 31430, 25109, 5904, 66, 60, NA, 1493453,  X*
