obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
56, 63.0, 163914, 51408, 16219, 30525, 18740, 18246, 2764, 1698, 91, 61, NA, 303514,  X*
57, 64.0, 108573, 9836, 8607, 6425, 6319, 2128, 899, 693, 83, 54, NA, 143480,  X*
58, 65.0, 165769, 29006, 5420, 1330, 1766, 2725, 2395, 1271, 83, 26, NA, 209682,  X*
59, 66.0, 12746, 14594, 21718, 9836, 9582, 4726, 3509, 6213, 90, 60, NA, 82924,  X*
60, 67.0, 957871, 64722, 17826, 9679, 11298, 9717, 3119, 1338, 81, 51, NA, 1075570,  X*
61, 68.0, 1017036, 95171, 5710, 9074, 7127, 2635, 2974, 539, 66, 27, NA, 1140266,  X*
62, 69.0, 851312, 160157, 3516, 4447, 11349, 3021, 1926, 534, 50, 20, NA, 1036262,  X*
63, 71.0, 801238, 8402, 13227, 9468, 4797, 4491, 1537, 780, 53, 21, NA, 843940,  X*
64, 72.0, 529771, 87527, 35767, 19073, 15801, 7229, 1604, 1378, 44, 30, NA, 698150,  X*
65, 73.0, 1591786, 152885, 46228, 98669, 73399, 62461, 5943, 5411, 69, 53, NA, 2036782,  X*
66, 74.0, 699322, 108951, 11629, 18631, 9347, 4314, 1292, 1262, 77, 69, NA, 854748,  X*
67, 75.0, 935417, 69514, 17302, 10725, 14150, 9207, 1933, 1494, 74, 54, NA, 1059742,  X*
68, 76.0, 137509, 9403, 15785, 2129, 3631, 1521, 804, 385, 74, 63, NA, 171167,  X*
69, 77.0, 586406, 143378, 64645, 24755, 18591, 11886, 2940, 1231, 56, 63, NA, 853832,  X*
70, 78.0, 39354, 65644, 31609, 12075, 25596, 12708, 8117, 2337, 70, 69, NA, 197440,  X*
71, 79.0, 788669, 735146, 107318, 60017, 68332, 16463, 7215, 2840, 53, 64, NA, 1786000,  X*
72, 80.0, 2449325, 159844, 13509, 35828, 35306, 30653, 14018, 4057, 64, 47, NA, 2742540,  X*
73, 81.0, 818101, 22446, 45106, 7326, 3728, 13622, 6247, 4486, 80, 57, NA, 921062,  X*
74, 82.0, 730139, 11278, 4625, 6874, 2572, 1186, 786, 1475, 70, 64, NA, 758935,  X*
75, 83.0, 530848, 243574, 3721, 18597, 12761, 18594, 9798, 7461, 84, 53, NA, 845354,  X*
76, 84.0, 962537, 78612, 7249, 24970, 4655, 8398, 1170, 1128, 78, 57, NA, 1088719,  X*
77, 85.0, 456957, 38884, 8396, 11361, 6558, 15726, 5198, 2215, 83, 43, NA, 545295,  X*
78, 86.0, 2069693, 200497, 37568, 38019, 25508, 26976, 4188, 4390, 90, 34, NA, 2406839,  X*
79, 87.0, 2814446, 373316, 54313, 14751, 32585, 8907, 21042, 5504, 77, 41, NA, 3324864,  X*
80, 88.0, 336744, 18902, 5435, 7001, 4940, 2623, 1155, 564, 77, 47, NA, 377364,  X*
81, 89.0, 51635, 10301, 23407, 35522, 10434, 8625, 3349, 3713, 66, 64, NA, 146986,  X*
82, 90.0, 140235, 27656, 3320, 1252, 1313, 2308, 1006, 377, 64, 56, NA, 177467,  X*
83, 91.0, 39435, 9357, 3603, 1185, 3853, 2752, 1455, 458, 90, 63, NA, 62098,  X*
