obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 9.9, 795230, 24367, 9726, 4316, 3528, 2582, 769, 863, NA, NA, NA, 841381,  X*
2, 10.9, 95485, 21065, 2675, 2034, 2915, 1527, 1097, 685, NA, NA, NA, 127483,  X*
3, 11.9, 213366, 181498, 24094, 40723, 10213, 11634, 21348, 5333, NA, NA, NA, 508209,  X*
4, 12.9, 665665, 124329, 12318, 8092, 11064, 6941, 8434, 5144, 37, 30, NA, 841987,  X*
5, 13.9, 1249614, 141091, 62693, 25421, 28201, 45627, 9560, 15383, 60, 41, NA, 1577590,  X*
6, 14.9, 892079, 99612, 64420, 5043, 5070, 14342, 6601, 3600, 61, 57, NA, 1090767,  X*
7, 15.9, 1726043, 95082, 25994, 44321, 30852, 67882, 9561, 11041, 84, 67, NA, 2010776,  X*
8, 16.9, 1515412, 141933, 12343, 26891, 17418, 10792, 2468, 2167, 77, 77, NA, 1729424,  X*
9, 17.9, 686785, 225681, 25758, 7243, 5685, 8710, 2150, 3175, 35, 60, NA, 965187,  X*
10, 18.9, 190129, 117398, 22023, 20319, 10763, 8231, 11764, 6991, 23, 48, NA, 387618,  X*
11, 19.9, 286228, 68243, 57999, 15032, 14885, 16582, 10905, 14107, 3, 57, NA, 483981,  X*
12, 20.9, 565727, 69790, 41668, 25975, 13891, 7484, 23108, 10504, 3, 80, NA, 758147,  X*
13, 22.0, 104872, 9831, 4149, 1078, 1432, 1534, 1143, 959, 21, 97, NA, 124998,  X*
14, 23.9, 1009701, 50034, 7734, 5583, 3720, 9424, 3848, 3083, 38, 91, NA, 1093127,  X*
15, 24.9, 105320, 38829, 11919, 2586, 5072, 4439, 2248, 1210, 29, 78, NA, 171623,  X*
16, 26.0, 1389047, 73914, 13248, 12613, 6910, 21162, 20723, 5779, 54, 57, NA, 1543396,  X*
17, 29.1, 338240, 105434, 18439, 11146, 6952, 7575, 7750, 7198, 43, 50, NA, 502734,  X*
18, 29.9, 781463, 141114, 21528, 57790, 30388, 7643, 2052, 2171, 17, 63, NA, 1044149,  X*
19, 31.0, 137174, 93698, 6124, 35071, 16242, 18032, 4053, 3185, 26, 63, NA, 313579,  X*
20, 32.0, 108968, 65679, 8104, 26174, 20984, 25221, 4637, 5054, 29, 67, NA, 264821,  X*
21, 32.9, 263257, 51623, 78147, 48629, 24974, 8967, 5860, 10186, 29, 88, NA, 491643,  X*
22, 34.0, 1268035, 46875, 15032, 13482, 15381, 8573, 1636, 922, 50, 80, NA, 1369936,  X*
23, 35.0, 2092197, 49092, 15216, 26666, 19140, 27420, 7840, 5592, 64, 81, NA, 2243163,  X*
24, 36.0, 921599, 39179, 86835, 18173, 27156, 58866, 19480, 19038, 74, 88, NA, 1190326,  X*
25, 36.9, 1458970, 568268, 15813, 31040, 7570, 13010, 9836, 24261, 64, 48, NA, 2128768,  X*
26, 38.0, 107354, 106486, 27964, 26455, 11557, 9748, 12810, 8077, 60, 50, NA, 310451,  X*
